Filename	WF115_2
Instrument name	0650-0369 (192.168.1.2)
Operator	ca527
rundate	11/24/2022
Sample name	WF115_2
proceduresegments	Select Gas: Gas 1 ; Ramp 10.00 °C/min to 110.00 °C; Isothermal 30.0 min; Ramp 10.00 °C/min to 900.00 °C; Isothermal 30.0 min; Select Gas: Gas 2 ; Ramp 10.00 °C/min to 950.00 °C; Isothermal 10.0 min; Data Off ; Equilibrate 30.00 °C
[step]
Ramp 10.00 °C/min to 110.00 °C
Time	Temperature	Weight	Weight	Heat Flow
min	°C	%	mg	mW
0.003		100.0110	5.8893	
0.012		100.0314	5.8905	
0.020		100.0561	5.8920	
0.028		100.0826	5.8935	
0.037		100.1105	5.8952	
0.045	22.21	100.1384	5.8968	-25.899
0.053	22.25	100.1647	5.8983	-25.876
0.062	22.29	100.1883	5.8997	-25.858
0.070	22.32	100.2092	5.9010	-25.843
0.078	22.36	100.2271	5.9020	-25.831
0.087	22.39	100.2407	5.9028	-25.819
0.095	22.43	100.2484	5.9033	-25.807
0.103	22.47	100.2523	5.9035	-25.795
0.112	22.50	100.2549	5.9037	-25.785
0.120	22.54	100.2569	5.9038	-25.776
0.128	22.57	100.2586	5.9039	-25.768
0.137	22.61	100.2601	5.9040	-25.760
0.145	22.64	100.2613	5.9040	-25.752
0.153	22.68	100.2624	5.9041	-25.744
0.162	22.72	100.2633	5.9042	-25.735
0.170	22.75	100.2640	5.9042	-25.726
0.178	22.79	100.2645	5.9042	-25.718
0.187	22.82	100.2648	5.9042	-25.709
0.195	22.86	100.2650	5.9043	-25.700
0.203	22.89	100.2650	5.9043	-25.691
0.212	22.93	100.2649	5.9042	-25.682
0.220	22.96	100.2645	5.9042	-25.674
0.228	22.99	100.2641	5.9042	-25.666
0.237	23.03	100.2635	5.9042	-25.659
0.245	23.06	100.2627	5.9041	-25.653
0.253	23.09	100.2618	5.9041	-25.646
0.262	23.13	100.2608	5.9040	-25.640
0.270	23.16	100.2596	5.9039	-25.635
0.278	23.20	100.2583	5.9039	-25.630
0.287	23.23	100.2569	5.9038	-25.625
0.295	23.26	100.2553	5.9037	-25.620
0.303	23.29	100.2535	5.9036	-25.616
0.312	23.33	100.2517	5.9035	-25.612
0.320	23.36	100.2496	5.9034	-25.608
0.328	23.39	100.2475	5.9032	-25.604
0.337	23.43	100.2452	5.9031	-25.600
0.345	23.46	100.2427	5.9029	-25.597
0.353	23.49	100.2402	5.9028	-25.594
0.362	23.52	100.2374	5.9026	-25.590
0.370	23.55	100.2346	5.9025	-25.586
0.378	23.59	100.2317	5.9023	-25.582
0.387	23.62	100.2286	5.9021	-25.578
0.395	23.65	100.2254	5.9019	-25.573
0.403	23.69	100.2222	5.9017	-25.567
0.412	23.72	100.2188	5.9015	-25.562
0.420	23.75	100.2152	5.9013	-25.556
0.428	23.78	100.2116	5.9011	-25.550
0.437	23.82	100.2079	5.9009	-25.544
0.445	23.85	100.2040	5.9007	-25.539
0.453	23.89	100.2001	5.9004	-25.534
0.462	23.92	100.1960	5.9002	-25.529
0.470	23.95	100.1918	5.8999	-25.525
0.478	23.99	100.1875	5.8997	-25.521
0.487	24.02	100.1830	5.8994	-25.519
0.495	24.05	100.1785	5.8992	-25.517
0.503	24.09	100.1738	5.8989	-25.514
0.512	24.12	100.1690	5.8986	-25.512
0.520	24.16	100.1641	5.8983	-25.510
0.528	24.20	100.1590	5.8980	-25.508
0.537	24.23	100.1539	5.8977	-25.507
0.545	24.27	100.1486	5.8974	-25.505
0.553	24.30	100.1432	5.8971	-25.504
0.562	24.34	100.1378	5.8968	-25.503
0.570	24.38	100.1322	5.8964	-25.502
0.578	24.42	100.1265	5.8961	-25.501
0.587	24.45	100.1208	5.8958	-25.501
0.595	24.49	100.1149	5.8954	-25.501
0.603	24.53	100.1090	5.8951	-25.501
0.612	24.57	100.1030	5.8947	-25.501
0.620	24.61	100.0969	5.8944	-25.501
0.628	24.65	100.0907	5.8940	-25.501
0.637	24.69	100.0845	5.8936	-25.502
0.645	24.73	100.0783	5.8933	-25.502
0.653	24.77	100.0720	5.8929	-25.503
0.662	24.81	100.0656	5.8925	-25.504
0.670	24.85	100.0592	5.8921	-25.505
0.678	24.89	100.0528	5.8918	-25.507
0.687	24.94	100.0463	5.8914	-25.508
0.695	24.98	100.0398	5.8910	-25.509
0.703	25.02	100.0333	5.8906	-25.511
0.712	25.07	100.0268	5.8902	-25.513
0.720	25.11	100.0202	5.8898	-25.514
0.728	25.15	100.0136	5.8895	-25.516
0.737	25.20	100.0071	5.8891	-25.518
0.745	25.24	100.0005	5.8887	-25.520
