Filename	softwood-5Kmin_2
Instrument name	0650-0369 (192.168.1.2)
Operator	ca527
rundate	1/10/2023
Sample name	softwood-5Kmin_2
proceduresegments	Select Gas: Gas 1 ; Ramp 10.00 °C/min to 110.00 °C; Isothermal 30.0 min; Ramp 5.00 °C/min to 900.00 °C; Isothermal 30.0 min; Select Gas: Gas 2 ; Ramp 10.00 °C/min to 950.00 °C; Isothermal 10.0 min; Data Off ; Equilibrate 30.00 °C
[step]
Ramp 10.00 °C/min to 110.00 °C
Time	Temperature	Weight	Weight	Heat Flow
min	°C	%	mg	mW
0.003		100.0229	4.2635	
0.012		100.0539	4.2648	
0.020		100.0766	4.2658	
0.028		100.0966	4.2666	
0.037		100.1158	4.2674	
0.045	22.56	100.1340	4.2682	-26.801
0.053	22.60	100.1500	4.2689	-26.757
0.062	22.63	100.1628	4.2695	-26.719
0.070	22.67	100.1727	4.2699	-26.683
0.078	22.71	100.1800	4.2702	-26.648
0.087	22.74	100.1848	4.2704	-26.616
0.095	22.78	100.1885	4.2705	-26.584
0.103	22.81	100.1919	4.2707	-26.551
0.112	22.85	100.1950	4.2708	-26.521
0.120	22.88	100.1977	4.2709	-26.493
0.128	22.92	100.2002	4.2710	-26.465
0.137	22.95	100.2023	4.2711	-26.438
0.145	22.99	100.2042	4.2712	-26.411
0.153	23.02	100.2058	4.2713	-26.385
0.162	23.06	100.2071	4.2713	-26.360
0.170	23.09	100.2082	4.2714	-26.336
0.178	23.13	100.2091	4.2714	-26.312
0.187	23.16	100.2098	4.2715	-26.288
0.195	23.20	100.2103	4.2715	-26.264
0.203	23.23	100.2106	4.2715	-26.240
0.212	23.27	100.2107	4.2715	-26.217
0.220	23.30	100.2106	4.2715	-26.194
0.228	23.33	100.2103	4.2715	-26.172
0.237	23.37	100.2098	4.2715	-26.149
0.245	23.40	100.2091	4.2714	-26.128
0.253	23.43	100.2082	4.2714	-26.105
0.262	23.47	100.2072	4.2713	-26.083
0.270	23.50	100.2059	4.2713	-26.063
0.278	23.53	100.2044	4.2712	-26.042
0.287	23.56	100.2027	4.2712	-26.021
0.295	23.60	100.2009	4.2711	-26.000
0.303	23.63	100.1988	4.2710	-25.981
0.312	23.66	100.1966	4.2709	-25.962
0.320	23.70	100.1942	4.2708	-25.942
0.328	23.73	100.1917	4.2707	-25.923
0.337	23.76	100.1889	4.2706	-25.905
0.345	23.80	100.1860	4.2704	-25.888
0.353	23.83	100.1829	4.2703	-25.870
0.362	23.86	100.1797	4.2702	-25.853
0.370	23.90	100.1764	4.2700	-25.836
0.378	23.93	100.1729	4.2699	-25.820
0.387	23.96	100.1692	4.2697	-25.802
0.395	23.99	100.1654	4.2696	-25.784
0.403	24.03	100.1615	4.2694	-25.767
0.412	24.06	100.1575	4.2692	-25.750
0.420	24.09	100.1533	4.2690	-25.733
0.428	24.13	100.1490	4.2689	-25.716
0.437	24.16	100.1446	4.2687	-25.699
0.445	24.19	100.1400	4.2685	-25.684
0.453	24.23	100.1353	4.2683	-25.669
0.462	24.26	100.1305	4.2681	-25.654
0.470	24.29	100.1255	4.2679	-25.640
0.478	24.33	100.1204	4.2676	-25.628
0.487	24.36	100.1152	4.2674	-25.615
0.495	24.40	100.1097	4.2672	-25.603
0.503	24.43	100.1042	4.2670	-25.591
0.512	24.47	100.0985	4.2667	-25.579
0.520	24.51	100.0927	4.2665	-25.568
0.528	24.54	100.0867	4.2662	-25.557
0.537	24.58	100.0806	4.2659	-25.546
0.545	24.61	100.0744	4.2657	-25.535
0.553	24.65	100.0681	4.2654	-25.525
0.562	24.69	100.0616	4.2651	-25.515
0.570	24.73	100.0551	4.2649	-25.506
0.578	24.77	100.0484	4.2646	-25.497
0.587	24.80	100.0417	4.2643	-25.488
0.595	24.84	100.0349	4.2640	-25.479
0.603	24.88	100.0279	4.2637	-25.471
0.612	24.92	100.0209	4.2634	-25.463
0.620	24.96	100.0139	4.2631	-25.456
0.628	25.00	100.0067	4.2628	-25.450
0.637	25.04	99.9995	4.2625	-25.444
0.645	25.09	99.9923	4.2622	-25.437
0.653	25.13	99.9849	4.2619	-25.431
0.662	25.17	99.9775	4.2616	-25.425
0.670	25.21	99.9701	4.2612	-25.420
0.678	25.26	99.9626	4.2609	-25.416
0.687	25.30	99.9551	4.2606	-25.411
0.695	25.34	99.9475	4.2603	-25.406
0.703	25.39	99.9399	4.2600	-25.401
0.712	25.43	99.9323	4.2596	-25.396
0.720	25.48	99.9246	4.2593	-25.391
0.728	25.52	99.9169	4.2590	-25.387
0.737	25.57	99.9092	4.2586	-25.383
0.745	25.61	99.9015	4.2583	-25.379
0.753	25.66	99.8938	4.2580	-25.375
0.762	25.71	99.8861	4.2577	-25.370
0.770	25.75	99.8784	4.2573	-25.367
0.778	25.80	99.8708	4.2570	-25.364
0.787	25.85	99.8631	4.2567	-25.361
0.795	25.90	99.8555	4.2564	-25.359
0.803	25.95	99.8478	4.2560	-25.356
0.812	26.00	99.8402	4.2557	-25.354
0.820	26.05	99.8327	4.2554	-25.352
0.828	26.10	99.8251	4.2551	-25.351
0.837	26.15	99.8176	4.2547	-25.350
0.845	26.20	99.8102	4.2544	-25.348
0.853	26.25	99.8028	4.2541	-25.346
0.862	26.30	99.7954	4.2538	-25.344
0.870	26.36	99.7881	4.2535	-25.342
0.878	26.41	99.7808	4.2532	-25.339
0.887	26.46	99.7735	4.2529	-25.336
0.895	26.52	99.7663	4.2526	-25.332
0.903	26.57	99.7591	4.2522	-25.328
0.912	26.63	99.7520	4.2519	-25.324
0.920	26.68	99.7450	4.2516	-25.320
0.928	26.74	99.7380	4.2513	-25.315
0.937	26.79	99.7311	4.2510	-25.310
0.945	26.85	99.7242	4.2508	-25.304
0.953	26.91	99.7174	4.2505	-25.298
0.962	26.96	99.7106	4.2502	-25.291
0.970	27.02	99.7040	4.2499	-25.285
0.978	27.08	99.6973	4.2496	-25.278
0.987	27.14	99.6908	4.2493	-25.271
0.995	27.20	99.6843	4.2491	-25.263
1.003	27.26	99.6778	4.2488	-25.253
1.012	27.32	99.6714	4.2485	-25.241
1.020	27.38	99.6650	4.2482	-25.230
1.028	27.44	99.6587	4.2480	-25.219
1.037	27.50	99.6524	4.2477	-25.208
1.045	27.56	99.6462	4.2474	-25.196
1.053	27.62	99.6400	4.2472	-25.183
1.062	27.69	99.6338	4.2469	-25.168
1.070	27.75	99.6277	4.2466	-25.153
1.078	27.82	99.6216	4.2464	-25.138
1.087	27.88	99.6156	4.2461	-25.123
1.095	27.94	99.6096	4.2459	-25.107
1.103	28.01	99.6036	4.2456	-25.091
1.112	28.08	99.5977	4.2454	-25.073
1.120	28.14	99.5918	4.2451	-25.053
1.128	28.21	99.5860	4.2449	-25.033
1.137	28.28	99.5801	4.2446	-25.013
1.145	28.34	99.5743	4.2444	-24.991
1.153	28.41	99.5685	4.2441	-24.969
1.162	28.48	99.5628	4.2439	-24.945
1.170	28.55	99.5570	4.2436	-24.921
1.178	28.62	99.5513	4.2434	-24.896
1.187	28.69	99.5456	4.2431	-24.871
1.195	28.76	99.5399	4.2429	-24.846
1.203	28.83	99.5342	4.2427	-24.820
1.212	28.90	99.5284	4.2424	-24.792
1.220	28.97	99.5227	4.2422	-24.764
1.228	29.04	99.5170	4.2419	-24.734
1.237	29.11	99.5112	4.2417	-24.703
1.245	29.19	99.5056	4.2414	-24.671
1.253	29.26	99.4998	4.2412	-24.640
1.262	29.33	99.4941	4.2409	-24.607
1.270	29.41	99.4883	4.2407	-24.574
1.278	29.48	99.4826	4.2405	-24.539
1.287	29.55	99.4768	4.2402	-24.505
1.295	29.63	99.4711	4.2400	-24.469
1.303	29.70	99.4653	4.2397	-24.434
1.312	29.78	99.4595	4.2395	-24.398
1.320	29.86	99.4537	4.2392	-24.362
1.328	29.93	99.4478	4.2390	-24.324
1.337	30.01	99.4420	4.2387	-24.285
1.345	30.09	99.4361	4.2385	-24.247
1.353	30.16	99.4302	4.2382	-24.206
1.362	30.24	99.4243	4.2380	-24.165
1.370	30.32	99.4183	4.2377	-24.123
1.378	30.40	99.4124	4.2375	-24.081
1.387	30.48	99.4064	4.2372	-24.039
1.395	30.56	99.4004	4.2370	-23.995
1.403	30.64	99.3943	4.2367	-23.952
1.412	30.71	99.3883	4.2364	-23.908
1.420	30.79	99.3822	4.2362	-23.865
1.428	30.87	99.3761	4.2359	-23.820
1.437	30.96	99.3700	4.2357	-23.775
1.445	31.04	99.3639	4.2354	-23.729
1.453	31.12	99.3577	4.2351	-23.683
1.462	31.20	99.3516	4.2349	-23.636
1.470	31.28	99.3454	4.2346	-23.588
1.478	31.36	99.3392	4.2343	-23.539
1.487	31.45	99.3329	4.2341	-23.488
1.495	31.53	99.3266	4.2338	-23.438
1.503	31.61	99.3203	4.2335	-23.387
1.512	31.70	99.3140	4.2333	-23.336
1.520	31.78	99.3076	4.2330	-23.284
1.528	31.86	99.3012	4.2327	-23.232
1.537	31.95	99.2948	4.2325	-23.179
1.545	32.03	99.2884	4.2322	-23.125
1.553	32.12	99.2819	4.2319	-23.070
1.562	32.20	99.2754	4.2316	-23.016
1.570	32.29	99.2689	4.2314	-22.963
1.578	32.37	99.2624	4.2311	-22.908
1.587	32.46	99.2559	4.2308	-22.853
1.595	32.55	99.2494	4.2305	-22.797
1.603	32.63	99.2428	4.2302	-22.741
1.612	32.72	99.2362	4.2300	-22.683
1.620	32.80	99.2296	4.2297	-22.625
1.628	32.89	99.2229	4.2294	-22.567
1.637	32.98	99.2163	4.2291	-22.510
1.645	33.07	99.2096	4.2288	-22.452
1.653	33.15	99.2029	4.2285	-22.392
1.662	33.24	99.1961	4.2282	-22.333
1.670	33.33	99.1893	4.2280	-22.273
1.678	33.42	99.1825	4.2277	-22.213
1.687	33.50	99.1757	4.2274	-22.152
1.695	33.59	99.1689	4.2271	-22.091
1.703	33.68	99.1620	4.2268	-22.031
1.712	33.77	99.1551	4.2265	-21.970
1.720	33.86	99.1482	4.2262	-21.909
1.728	33.95	99.1413	4.2259	-21.847
1.737	34.04	99.1343	4.2256	-21.784
1.745	34.13	99.1273	4.2253	-21.722
1.753	34.22	99.1203	4.2250	-21.660
1.762	34.31	99.1132	4.2247	-21.599
1.770	34.40	99.1062	4.2244	-21.536
1.778	34.49	99.0991	4.2241	-21.474
1.787	34.58	99.0920	4.2238	-21.412
1.795	34.67	99.0849	4.2235	-21.349
1.803	34.76	99.0778	4.2232	-21.285
1.812	34.85	99.0706	4.2229	-21.220
1.820	34.94	99.0635	4.2226	-21.158
1.828	35.03	99.0563	4.2223	-21.094
1.837	35.12	99.0490	4.2220	-21.029
1.845	35.22	99.0418	4.2217	-20.963
1.853	35.31	99.0345	4.2214	-20.897
1.862	35.40	99.0272	4.2210	-20.832
1.870	35.49	99.0199	4.2207	-20.766
1.878	35.58	99.0126	4.2204	-20.700
1.887	35.67	99.0052	4.2201	-20.634
1.895	35.77	98.9978	4.2198	-20.569
1.903	35.86	98.9904	4.2195	-20.502
1.912	35.95	98.9830	4.2192	-20.435
1.920	36.04	98.9756	4.2188	-20.369
1.928	36.14	98.9682	4.2185	-20.303
1.937	36.23	98.9607	4.2182	-20.236
1.945	36.32	98.9532	4.2179	-20.169
1.953	36.41	98.9457	4.2176	-20.101
1.962	36.51	98.9382	4.2173	-20.033
1.970	36.60	98.9307	4.2169	-19.965
1.978	36.69	98.9231	4.2166	-19.897
1.987	36.78	98.9155	4.2163	-19.828
1.995	36.88	98.9079	4.2160	-19.760
2.003	36.97	98.9002	4.2156	-19.691
2.012	37.06	98.8926	4.2153	-19.622
2.020	37.16	98.8849	4.2150	-19.554
2.028	37.25	98.8771	4.2147	-19.485
2.037	37.34	98.8694	4.2143	-19.418
2.045	37.44	98.8616	4.2140	-19.350
2.053	37.53	98.8539	4.2137	-19.282
2.062	37.63	98.8461	4.2133	-19.213
2.070	37.72	98.8383	4.2130	-19.145
2.078	37.81	98.8304	4.2127	-19.076
2.087	37.91	98.8226	4.2123	-19.007
2.095	38.00	98.8147	4.2120	-18.938
2.103	38.10	98.8068	4.2117	-18.869
2.112	38.19	98.7989	4.2113	-18.800
2.120	38.28	98.7910	4.2110	-18.730
2.128	38.38	98.7830	4.2106	-18.660
2.137	38.47	98.7751	4.2103	-18.590
2.145	38.57	98.7671	4.2100	-18.520
2.153	38.66	98.7591	4.2096	-18.450
2.162	38.75	98.7511	4.2093	-18.381
2.170	38.85	98.7430	4.2089	-18.312
2.178	38.94	98.7350	4.2086	-18.242
2.187	39.04	98.7269	4.2082	-18.172
2.195	39.13	98.7188	4.2079	-18.101
2.203	39.22	98.7107	4.2076	-18.031
2.212	39.32	98.7026	4.2072	-17.961
2.220	39.41	98.6944	4.2069	-17.890
2.228	39.51	98.6862	4.2065	-17.821
2.237	39.60	98.6780	4.2062	-17.751
2.245	39.70	98.6698	4.2058	-17.680
2.253	39.79	98.6616	4.2055	-17.609
2.262	39.88	98.6533	4.2051	-17.539
2.270	39.98	98.6451	4.2048	-17.469
2.278	40.07	98.6368	4.2044	-17.399
2.287	40.17	98.6286	4.2041	-17.329
2.295	40.26	98.6203	4.2037	-17.259
2.303	40.36	98.6120	4.2033	-17.188
2.312	40.45	98.6037	4.2030	-17.116
2.320	40.54	98.5953	4.2026	-17.047
2.328	40.64	98.5870	4.2023	-16.976
2.337	40.73	98.5786	4.2019	-16.906
2.345	40.83	98.5702	4.2016	-16.835
2.353	40.92	98.5617	4.2012	-16.764
2.362	41.01	98.5533	4.2008	-16.694
2.370	41.11	98.5448	4.2005	-16.624
2.378	41.20	98.5363	4.2001	-16.554
2.387	41.30	98.5278	4.1998	-16.485
2.395	41.39	98.5193	4.1994	-16.416
2.403	41.48	98.5108	4.1990	-16.347
2.412	41.58	98.5023	4.1987	-16.276
2.420	41.67	98.4938	4.1983	-16.206
2.428	41.77	98.4853	4.1979	-16.137
2.437	41.86	98.4767	4.1976	-16.067
2.445	41.95	98.4682	4.1972	-15.998
2.453	42.05	98.4596	4.1969	-15.929
2.462	42.14	98.4510	4.1965	-15.859
2.470	42.24	98.4424	4.1961	-15.789
2.478	42.33	98.4337	4.1958	-15.720
2.487	42.42	98.4251	4.1954	-15.650
2.495	42.52	98.4164	4.1950	-15.581
2.503	42.61	98.4078	4.1946	-15.511
2.512	42.70	98.3991	4.1943	-15.442
2.520	42.80	98.3903	4.1939	-15.373
2.528	42.89	98.3816	4.1935	-15.303
2.537	42.98	98.3729	4.1932	-15.233
2.545	43.08	98.3642	4.1928	-15.163
2.553	43.17	98.3554	4.1924	-15.094
2.562	43.26	98.3466	4.1920	-15.024
2.570	43.36	98.3378	4.1917	-14.954
2.578	43.45	98.3290	4.1913	-14.885
2.587	43.54	98.3202	4.1909	-14.817
2.595	43.64	98.3114	4.1905	-14.746
2.603	43.73	98.3026	4.1902	-14.677
2.612	43.82	98.2937	4.1898	-14.610
2.620	43.92	98.2849	4.1894	-14.541
2.628	44.01	98.2760	4.1890	-14.473
2.637	44.10	98.2672	4.1887	-14.405
2.645	44.19	98.2583	4.1883	-14.338
2.653	44.29	98.2494	4.1879	-14.270
2.662	44.38	98.2405	4.1875	-14.203
2.670	44.47	98.2316	4.1871	-14.136
2.678	44.56	98.2226	4.1868	-14.070
2.687	44.66	98.2137	4.1864	-14.004
2.695	44.75	98.2047	4.1860	-13.936
2.703	44.84	98.1958	4.1856	-13.869
