Filename	CLSOx50_4
Instrument name	5500-0018 (192.168.1.3)
Operator	mp933
rundate	10/24/2022
Sample name	CLSOx50_4
proceduresegments	Select Gas: Gas 2 ; Mass Flow  25.00 mL/min; Ramp 10.00 °C/min to 110.00 °C; Isothermal 30.0 min; Ramp 50.00 °C/min to 950.00 °C; Isothermal 10.0 min; Data Off ; Equilibrate 40.00 °C
[step]
Ramp 10.00 °C/min to 110.00 °C
Time	Temperature	Weight	Weight
min	°C	%	mg
0.003	35.57	98.5705	6.7791
0.012	35.55	97.5750	6.7107
0.020	35.54	97.5523	6.7091
0.028	35.52	97.5944	6.7120
0.037	35.50	97.5400	6.7083
0.045	35.48	97.5517	6.7091
0.053	35.47	97.5713	6.7104
0.062	35.45	97.5388	6.7082
0.070	35.43	97.5460	6.7087
0.078	35.42	97.5550	6.7093
0.087	35.40	97.5229	6.7071
0.095	35.38	97.5366	6.7080
0.103	35.37	97.5387	6.7082
0.112	35.35	97.5228	6.7071
0.120	35.34	97.5431	6.7085
0.128	35.32	97.5469	6.7087
0.137	35.31	97.5215	6.7070
0.145	35.29	97.5416	6.7084
0.153	35.28	97.5453	6.7086
0.162	35.26	97.5331	6.7078
0.170	35.25	97.5290	6.7075
0.178	35.23	97.5304	6.7076
0.187	35.22	97.5199	6.7069
0.195	35.20	97.5180	6.7067
0.203	35.19	97.5176	6.7067
0.212	35.18	97.5125	6.7064
0.220	35.16	97.5077	6.7060
0.228	35.15	97.5046	6.7058
0.237	35.14	97.5001	6.7055
0.245	35.13	97.4961	6.7052
0.253	35.12	97.4933	6.7050
0.262	35.11	97.4898	6.7048
0.270	35.10	97.4876	6.7047
0.278	35.09	97.4855	6.7045
0.287	35.08	97.4833	6.7044
0.295	35.07	97.4804	6.7042
0.303	35.06	97.4783	6.7040
0.312	35.06	97.4759	6.7038
0.320	35.05	97.4730	6.7036
0.328	35.05	97.4711	6.7035
0.337	35.05	97.4693	6.7034
0.345	35.05	97.4664	6.7032
0.353	35.06	97.4637	6.7030
0.362	35.06	97.4611	6.7028
0.370	35.07	97.4567	6.7025
0.378	35.08	97.4527	6.7022
0.387	35.10	97.4502	6.7021
0.395	35.11	97.4473	6.7019
0.403	35.13	97.4442	6.7017
0.412	35.16	97.4420	6.7015
0.420	35.18	97.4399	6.7014
0.428	35.21	97.4373	6.7012
0.437	35.24	97.4348	6.7010
0.445	35.28	97.4323	6.7008
0.453	35.32	97.4293	6.7006
0.462	35.36	97.4265	6.7004
0.470	35.41	97.4235	6.7002
0.478	35.45	97.4203	6.7000
0.487	35.51	97.4171	6.6998
0.495	35.56	97.4138	6.6996
0.503	35.61	97.4096	6.6993
0.512	35.67	97.4051	6.6990
0.520	35.73	97.4003	6.6986
0.528	35.80	97.3943	6.6982
0.537	35.86	97.3886	6.6978
0.545	35.93	97.3843	6.6975
0.553	35.99	97.3798	6.6972
0.562	36.06	97.3754	6.6969
0.570	36.13	97.3717	6.6967
0.578	36.20	97.3679	6.6964
0.587	36.28	97.3627	6.6961
0.595	36.35	97.3583	6.6958
0.603	36.43	97.3542	6.6955
0.612	36.50	97.3498	6.6952
0.620	36.58	97.3452	6.6949
0.628	36.66	97.3409	6.6946
0.637	36.73	97.3364	6.6943
0.645	36.81	97.3319	6.6939
0.653	36.89	97.3273	6.6936
0.662	36.97	97.3225	6.6933
0.670	37.05	97.3179	6.6930
0.678	37.13	97.3133	6.6927
0.687	37.21	97.3084	6.6923
0.695	37.29	97.3035	6.6920
0.703	37.37	97.2988	6.6917
0.712	37.45	97.2936	6.6913
0.720	37.53	97.2882	6.6909
0.728	37.61	97.2830	6.6906
0.737	37.69	97.2776	6.6902
0.745	37.77	97.2711	6.6898
0.753	37.85	97.2658	6.6894
0.762	37.93	97.2607	6.6890
0.770	38.01	97.2556	6.6887
0.778	38.09	97.2506	6.6884
0.787	38.17	97.2457	6.6880
0.795	38.25	97.2407	6.6877
0.803	38.33	97.2356	6.6873
0.812	38.41	97.2305	6.6870
0.820	38.49	97.2253	6.6866
0.828	38.57	97.2202	6.6863
0.837	38.65	97.2150	6.6859
0.845	38.73	97.2097	6.6855
0.853	38.82	97.2046	6.6852
0.862	38.90	97.1995	6.6848
0.870	38.98	97.1943	6.6845
0.878	39.06	97.1889	6.6841
0.887	39.14	97.1837	6.6838
0.895	39.23	97.1783	6.6834
0.903	39.31	97.1725	6.6830
0.912	39.39	97.1674	6.6826
0.920	39.47	97.1622	6.6823
0.928	39.56	97.1569	6.6819
0.937	39.64	97.1519	6.6816
0.945	39.72	97.1466	6.6812
0.953	39.81	97.1411	6.6808
0.962	39.89	97.1358	6.6805
0.970	39.97	97.1306	6.6801
0.978	40.06	97.1252	6.6797
0.987	40.14	97.1198	6.6794
0.995	40.23	97.1145	6.6790
1.003	40.31	97.1092	6.6786
1.012	40.40	97.1040	6.6783
