Time	Temperature	Weight	Weight	Heat Flow
min	°C	%	mg	mW
0.003		100.0132	5.6265	
0.012		100.0352	5.6278	
0.020		100.0634	5.6294	
0.028		100.0960	5.6312	
0.037		100.1295	5.6331	
0.045	25.46	100.1618	5.6349	-22.409
0.053	25.54	100.1911	5.6366	-22.365
0.062	25.62	100.2161	5.6380	-22.321
0.070	25.71	100.2356	5.6391	-22.279
0.078	25.79	100.2497	5.6399	-22.237
0.087	25.87	100.2591	5.6404	-22.197
0.095	25.95	100.2637	5.6406	-22.158
0.103	26.03	100.2643	5.6407	-22.120
0.112	26.11	100.2637	5.6406	-22.082
0.120	26.19	100.2630	5.6406	-22.045
0.128	26.26	100.2623	5.6406	-22.009
0.137	26.34	100.2616	5.6405	-21.974
0.145	26.42	100.2605	5.6405	-21.940
0.153	26.50	100.2589	5.6404	-21.906
0.162	26.57	100.2570	5.6403	-21.872
0.170	26.65	100.2547	5.6401	-21.840
0.178	26.72	100.2522	5.6400	-21.807
0.187	26.80	100.2492	5.6398	-21.775
0.195	26.87	100.2455	5.6396	-21.744
0.203	26.95	100.2412	5.6394	-21.713
0.212	27.02	100.2363	5.6391	-21.682
0.220	27.10	100.2310	5.6388	-21.652
0.228	27.17	100.2253	5.6385	-21.623
0.237	27.24	100.2196	5.6382	-21.595
0.245	27.32	100.2137	5.6378	-21.567
0.253	27.39	100.2077	5.6375	-21.540
0.262	27.46	100.2014	5.6371	-21.513
0.270	27.53	100.1950	5.6368	-21.486
0.278	27.60	100.1883	5.6364	-21.460
0.287	27.67	100.1814	5.6360	-21.435
0.295	27.74	100.1743	5.6356	-21.410
0.303	27.81	100.1670	5.6352	-21.385
0.312	27.88	100.1596	5.6348	-21.360
0.320	27.95	100.1520	5.6344	-21.336
0.328	28.01	100.1441	5.6339	-21.312
0.337	28.08	100.1361	5.6335	-21.287
0.345	28.15	100.1280	5.6330	-21.263
0.353	28.21	100.1196	5.6325	-21.240
0.362	28.28	100.1111	5.6321	-21.217
0.370	28.35	100.1024	5.6316	-21.193
0.378	28.41	100.0936	5.6311	-21.171
0.387	28.48	100.0846	5.6306	-21.148
0.395	28.54	100.0755	5.6301	-21.126
0.403	28.61	100.0662	5.6295	-21.103
0.412	28.67	100.0568	5.6290	-21.082
0.420	28.73	100.0472	5.6285	-21.061
0.428	28.80	100.0376	5.6279	-21.039
0.437	28.86	100.0277	5.6274	-21.019
0.445	28.92	100.0178	5.6268	-20.998
0.453	28.98	100.0077	5.6262	-20.978
0.462	29.04	99.9975	5.6257	-20.957
0.470	29.11	99.9872	5.6251	-20.937
0.478	29.17	99.9768	5.6245	-20.917
0.487	29.23	99.9663	5.6239	-20.899
0.495	29.29	99.9557	5.6233	-20.879
0.503	29.35	99.9450	5.6227	-20.859
0.512	29.41	99.9342	5.6221	-20.840
0.520	29.46	99.9234	5.6215	-20.820
0.528	29.52	99.9124	5.6209	-20.801
0.537	29.58	99.9014	5.6203	-20.782
0.545	29.64	99.8903	5.6196	-20.763
0.553	29.70	99.8791	5.6190	-20.744
0.562	29.75	99.8679	5.6184	-20.725
0.570	29.81	99.8566	5.6177	-20.706
0.578	29.87	99.8452	5.6171	-20.687
0.587	29.92	99.8338	5.6165	-20.668
0.595	29.98	99.8223	5.6158	-20.650
0.603	30.03	99.8108	5.6152	-20.631
0.612	30.09	99.7992	5.6145	-20.612
0.620	30.14	99.7876	5.6139	-20.593
0.628	30.20	99.7759	5.6132	-20.575
0.637	30.25	99.7642	5.6125	-20.556
0.645	30.30	99.7525	5.6119	-20.538
0.653	30.36	99.7407	5.6112	-20.520
0.662	30.41	99.7289	5.6106	-20.501
0.670	30.46	99.7170	5.6099	-20.482
0.678	30.52	99.7051	5.6092	-20.464
0.687	30.57	99.6933	5.6085	-20.446
0.695	30.62	99.6813	5.6079	-20.428
0.703	30.67	99.6694	5.6072	-20.410
0.712	30.72	99.6574	5.6065	-20.392
0.720	30.77	99.6454	5.6059	-20.375
0.728	30.82	99.6335	5.6052	-20.356
0.737	30.87	99.6215	5.6045	-20.338
0.745	30.92	99.6095	5.6038	-20.320
0.753	30.97	99.5974	5.6032	-20.301
0.762	31.02	99.5854	5.6025	-20.283
0.770	31.07	99.5734	5.6018	-20.264
0.778	31.12	99.5614	5.6011	-20.246
0.787	31.17	99.5494	5.6005	-20.228
0.795	31.22	99.5374	5.5998	-20.209
0.803	31.27	99.5255	5.5991	-20.191
0.812	31.32	99.5135	5.5984	-20.173
0.820	31.37	99.5015	5.5978	-20.155
0.828	31.42	99.4896	5.5971	-20.137
0.837	31.47	99.4777	5.5964	-20.120
0.845	31.51	99.4658	5.5958	-20.102
0.853	31.56	99.4539	5.5951	-20.085
0.862	31.61	99.4421	5.5944	-20.066
0.870	31.66	99.4302	5.5938	-20.048
0.878	31.70	99.4184	5.5931	-20.031
0.887	31.75	99.4066	5.5924	-20.013
0.895	31.80	99.3948	5.5918	-19.994
0.903	31.85	99.3830	5.5911	-19.976
0.912	31.89	99.3712	5.5904	-19.958
0.920	31.94	99.3595	5.5898	-19.940
0.928	31.99	99.3478	5.5891	-19.922
0.937	32.04	99.3361	5.5885	-19.904
0.945	32.08	99.3244	5.5878	-19.886
0.953	32.13	99.3128	5.5871	-19.868
0.962	32.18	99.3012	5.5865	-19.850
0.970	32.23	99.2896	5.5858	-19.832
0.978	32.28	99.2781	5.5852	-19.814
0.987	32.33	99.2666	5.5845	-19.796
0.995	32.38	99.2551	5.5839	-19.778
1.003	32.43	99.2437	5.5833	-19.759
1.012	32.48	99.2324	5.5826	-19.740
1.020	32.53	99.2210	5.5820	-19.722
1.028	32.58	99.2097	5.5813	-19.703
1.037	32.63	99.1985	5.5807	-19.685
1.045	32.68	99.1873	5.5801	-19.665
1.053	32.73	99.1761	5.5795	-19.646
1.062	32.78	99.1650	5.5788	-19.626
1.070	32.83	99.1540	5.5782	-19.606
1.078	32.88	99.1429	5.5776	-19.586
1.087	32.93	99.1319	5.5770	-19.567
1.095	32.98	99.1210	5.5764	-19.546
1.103	33.03	99.1101	5.5757	-19.526
1.112	33.08	99.0993	5.5751	-19.505
