Time	Temperature	Weight	Weight	Heat Flow
min	°C	%	µg	mW
0.003		100.0004	18762.1245	
0.012		100.0010	18762.2263	
0.020		100.0015	18762.3245	
0.028		100.0020	18762.4210	
0.037		100.0025	18762.5083	
0.045	18.54	100.0029	18762.5883	-16.450
0.053	18.54	100.0033	18762.6574	-16.449
0.062	18.54	100.0036	18762.7156	-16.448
0.070	18.54	100.0038	18762.7647	-16.448
0.078	18.54	100.0040	18762.8011	-16.447
0.087	18.54	100.0041	18762.8248	-16.446
0.095	18.55	100.0042	18762.8411	-16.446
0.103	18.55	100.0043	18762.8466	-16.445
0.112	18.55	100.0042	18762.8430	-16.445
0.120	18.55	100.0042	18762.8266	-16.445
0.128	18.55	100.0040	18762.8011	-16.444
0.137	18.55	100.0038	18762.7629	-16.444
0.145	18.56	100.0035	18762.7102	-16.444
0.153	18.56	100.0032	18762.6483	-16.444
0.162	18.56	100.0028	18762.5701	-16.444
0.170	18.56	100.0023	18762.4755	-16.444
0.178	18.57	100.0017	18762.3700	-16.444
0.187	18.57	100.0011	18762.2445	-16.445
0.195	18.57	100.0003	18762.1044	-16.445
0.203	18.58	99.9995	18761.9498	-16.446
0.212	18.58	99.9986	18761.7825	-16.446
0.220	18.58	99.9976	18761.5988	-16.447
0.228	18.59	99.9966	18761.4023	-16.448
0.237	18.59	99.9954	18761.1931	-16.449
0.245	18.60	99.9943	18760.9694	-16.450
0.253	18.60	99.9930	18760.7275	-16.452
0.262	18.61	99.9916	18760.4692	-16.453
0.270	18.62	99.9901	18760.1945	-16.454
0.278	18.63	99.9886	18759.9016	-16.456
0.287	18.63	99.9869	18759.5870	-16.457
0.295	18.64	99.9851	18759.2523	-16.458
0.303	18.65	99.9832	18758.8976	-16.460
0.312	18.66	99.9812	18758.5247	-16.460
0.320	18.67	99.9791	18758.1318	-16.461
0.328	18.68	99.9769	18757.7207	-16.462
0.337	18.69	99.9747	18757.2969	-16.462
0.345	18.71	99.9724	18756.8603	-16.462
0.353	18.72	99.9700	18756.4165	-16.462
0.362	18.73	99.9676	18755.9635	-16.462
0.370	18.75	99.9651	18755.5070	-16.462
0.378	18.77	99.9627	18755.0468	-16.461
0.387	18.78	99.9602	18754.5847	-16.461
0.395	18.80	99.9578	18754.1245	-16.460
0.403	18.82	99.9553	18753.6625	-16.459
0.412	18.84	99.9529	18753.2059	-16.457
0.420	18.86	99.9505	18752.7530	-16.455
0.428	18.88	99.9481	18752.3019	-16.451
0.437	18.90	99.9457	18751.8544	-16.447
0.445	18.92	99.9433	18751.4142	-16.443
0.453	18.95	99.9410	18750.9740	-16.437
0.462	18.97	99.9387	18750.5411	-16.431
0.470	19.00	99.9364	18750.1118	-16.424
0.478	19.03	99.9341	18749.6917	-16.417
0.487	19.05	99.9319	18749.2733	-16.409
0.495	19.08	99.9297	18748.8640	-16.401
0.503	19.11	99.9276	18748.4566	-16.392
0.512	19.14	99.9254	18748.0564	-16.383
0.520	19.17	99.9233	18747.6617	-16.373
0.528	19.20	99.9213	18747.2724	-16.363
0.537	19.23	99.9192	18746.8886	-16.353
0.545	19.27	99.9172	18746.5121	-16.342
0.553	19.30	99.9152	18746.1392	-16.330
0.562	19.34	99.9133	18745.7736	-16.318
0.570	19.37	99.9113	18745.4116	-16.305
0.578	19.41	99.9094	18745.0532	-16.291
0.587	19.45	99.9075	18744.7004	-16.277
0.595	19.49	99.9057	18744.3529	-16.263
0.603	19.53	99.9039	18744.0091	-16.247
0.612	19.57	99.9020	18743.6690	-16.231
0.620	19.61	99.9003	18743.3361	-16.215
0.628	19.65	99.8985	18743.0051	-16.199
0.637	19.70	99.8968	18742.6795	-16.182
