Filename	CLSOx50_5
Instrument name	5500-0018 (192.168.1.3)
Operator	mp933
rundate	10/25/2022
Sample name	CLSOx50_5
proceduresegments	Select Gas: Gas 2 ; Mass Flow  25.00 mL/min; Ramp 10.00 °C/min to 110.00 °C; Isothermal 30.0 min; Ramp 50.00 °C/min to 950.00 °C; Isothermal 10.0 min; Data Off ; Equilibrate 40.00 °C
[step]
Ramp 10.00 °C/min to 110.00 °C
Time	Temperature	Weight	Weight
min	°C	%	mg
0.003	20.53	96.8491	5.2574
0.012	20.53	95.6507	5.1923
0.020	20.53	95.5845	5.1887
0.028	20.53	95.6046	5.1898
0.037	20.53	95.6084	5.1900
0.045	20.53	95.6344	5.1914
0.053	20.53	95.6118	5.1902
0.062	20.53	95.5963	5.1893
0.070	20.53	95.6338	5.1914
0.078	20.53	95.6236	5.1908
0.087	20.53	95.6034	5.1897
0.095	20.53	95.6347	5.1914
0.103	20.53	95.6197	5.1906
0.112	20.53	95.6114	5.1902
0.120	20.53	95.6606	5.1928
0.128	20.53	95.6579	5.1927
0.137	20.53	95.6443	5.1920
0.145	20.53	95.6545	5.1925
0.153	20.53	95.6495	5.1922
0.162	20.53	95.6498	5.1923
0.170	20.53	95.6506	5.1923
0.178	20.53	95.6435	5.1919
0.187	20.53	95.6423	5.1918
0.195	20.53	95.6444	5.1920
0.203	20.53	95.6462	5.1921
0.212	20.53	95.6461	5.1921
0.220	20.53	95.6454	5.1920
0.228	20.53	95.6430	5.1919
0.237	20.53	95.6400	5.1917
0.245	20.53	95.6373	5.1916
0.253	20.53	95.6361	5.1915
0.262	20.53	95.6352	5.1915
0.270	20.53	95.6348	5.1914
0.278	20.53	95.6348	5.1914
0.287	20.53	95.6342	5.1914
0.295	20.53	95.6337	5.1914
0.303	20.54	95.6333	5.1914
0.312	20.54	95.6324	5.1913
0.320	20.54	95.6315	5.1913
0.328	20.54	95.6311	5.1912
0.337	20.55	95.6304	5.1912
0.345	20.55	95.6294	5.1911
0.353	20.56	95.6290	5.1911
0.362	20.57	95.6288	5.1911
0.370	20.58	95.6281	5.1911
0.378	20.59	95.6276	5.1910
0.387	20.60	95.6273	5.1910
0.395	20.62	95.6266	5.1910
0.403	20.63	95.6262	5.1910
0.412	20.65	95.6260	5.1910
0.420	20.67	95.6254	5.1909
0.428	20.70	95.6247	5.1909
0.437	20.73	95.6243	5.1909
0.445	20.76	95.6236	5.1908
0.453	20.79	95.6229	5.1908
0.462	20.82	95.6224	5.1908
0.470	20.86	95.6216	5.1907
0.478	20.90	95.6208	5.1907
0.487	20.95	95.6202	5.1906
0.495	20.99	95.6193	5.1906
0.503	21.04	95.6180	5.1905
0.512	21.09	95.6172	5.1905
0.520	21.14	95.6161	5.1904
0.528	21.19	95.6147	5.1903
0.537	21.25	95.6135	5.1903
0.545	21.31	95.6124	5.1902
0.553	21.37	95.6107	5.1901
0.562	21.43	95.6092	5.1900
0.570	21.49	95.6078	5.1900
0.578	21.56	95.6060	5.1899
0.587	21.63	95.6042	5.1898
0.595	21.69	95.6027	5.1897
0.603	21.76	95.6009	5.1896
0.612	21.83	95.5991	5.1895
0.620	21.91	95.5974	5.1894
0.628	21.98	95.5957	5.1893
0.637	22.05	95.5933	5.1892
0.645	22.13	95.5912	5.1891
0.653	22.20	95.5892	5.1890
0.662	22.28	95.5867	5.1888
0.670	22.35	95.5844	5.1887
0.678	22.43	95.5820	5.1886
0.687	22.51	95.5795	5.1884
0.695	22.59	95.5773	5.1883
0.703	22.66	95.5750	5.1882
0.712	22.74	95.5721	5.1880
0.720	22.82	95.5698	5.1879
0.728	22.90	95.5675	5.1878
0.737	22.98	95.5648	5.1876
0.745	23.06	95.5621	5.1875
0.753	23.14	95.5597	5.1874
0.762	23.22	95.5572	5.1872
0.770	23.30	95.5543	5.1871
0.778	23.39	95.5517	5.1869
0.787	23.47	95.5490	5.1868
0.795	23.55	95.5461	5.1866
0.803	23.64	95.5433	5.1865
0.812	23.72	95.5405	5.1863
0.820	23.80	95.5376	5.1862
0.828	23.89	95.5349	5.1860
0.837	23.97	95.5321	5.1859
0.845	24.05	95.5291	5.1857
0.853	24.14	95.5264	5.1856
0.862	24.22	95.5236	5.1854
0.870	24.30	95.5205	5.1852
0.878	24.39	95.5176	5.1851
0.887	24.47	95.5149	5.1849
0.895	24.55	95.5118	5.1848
0.903	24.63	95.5088	5.1846
0.912	24.72	95.5059	5.1844
0.920	24.80	95.5028	5.1843
0.928	24.88	95.4998	5.1841
0.937	24.97	95.4971	5.1840
0.945	25.05	95.4943	5.1838
0.953	25.13	95.4912	5.1836
0.962	25.22	95.4880	5.1835
0.970	25.30	95.4847	5.1833
0.978	25.38	95.4816	5.1831
0.987	25.47	95.4785	5.1830
0.995	25.55	95.4755	5.1828
1.003	25.64	95.4726	5.1826
1.012	25.72	95.4695	5.1825
1.020	25.80	95.4666	5.1823
1.028	25.89	95.4633	5.1821
1.037	25.97	95.4600	5.1820
1.045	26.06	95.4569	5.1818
1.053	26.14	95.4537	5.1816
1.062	26.23	95.4506	5.1814
1.070	26.31	95.4475	5.1813
1.078	26.40	95.4443	5.1811
1.087	26.48	95.4412	5.1809
1.095	26.57	95.4381	5.1808
1.103	26.65	95.4348	5.1806
1.112	26.74	95.4314	5.1804
1.120	26.82	95.4281	5.1802
1.128	26.91	95.4248	5.1800
1.137	26.99	95.4213	5.1798
