Filename	CLSOx10_4
Instrument name	5500-0018 (192.168.1.3)
Operator	mp933
rundate	10/6/2022
Sample name	CLSOx10_4
proceduresegments	Select Gas: Gas 2 ; Mass Flow  25.00 mL/min; Ramp 10.00 °C/min to 110.00 °C; Isothermal 30.0 min; Ramp 10.00 °C/min to 950.00 °C; Isothermal 10.0 min; Data Off ; Equilibrate 40.00 °C
[step]
Ramp 10.00 °C/min to 110.00 °C
Time	Temperature	Weight	Weight
min	°C	%	mg
0.003	20.52	97.0204	5.6956
0.012	20.52	95.9783	5.6344
0.020	20.51	95.9346	5.6318
0.028	20.51	95.9122	5.6305
0.037	20.51	95.8943	5.6294
0.045	20.51	95.9498	5.6327
0.053	20.51	95.9512	5.6328
0.062	20.51	95.8938	5.6294
0.070	20.51	95.9250	5.6312
0.078	20.51	95.9631	5.6335
0.087	20.51	95.9215	5.6310
0.095	20.51	95.9069	5.6302
0.103	20.51	95.9603	5.6333
0.112	20.51	95.9418	5.6322
0.120	20.51	95.9367	5.6319
0.128	20.51	95.9602	5.6333
0.137	20.50	95.9558	5.6331
0.145	20.50	95.9495	5.6327
0.153	20.50	95.9398	5.6321
0.162	20.50	95.9435	5.6323
0.170	20.50	95.9404	5.6322
0.178	20.50	95.9396	5.6321
0.187	20.50	95.9396	5.6321
0.195	20.50	95.9448	5.6324
0.203	20.50	95.9463	5.6325
0.212	20.50	95.9464	5.6325
0.220	20.50	95.9497	5.6327
0.228	20.50	95.9514	5.6328
0.237	20.50	95.9513	5.6328
0.245	20.50	95.9518	5.6328
0.253	20.50	95.9525	5.6329
0.262	20.51	95.9512	5.6328
0.270	20.51	95.9499	5.6327
0.278	20.51	95.9492	5.6327
0.287	20.51	95.9479	5.6326
0.295	20.51	95.9462	5.6325
0.303	20.51	95.9448	5.6324
0.312	20.51	95.9437	5.6323
0.320	20.52	95.9422	5.6323
0.328	20.52	95.9406	5.6322
0.337	20.52	95.9393	5.6321
0.345	20.53	95.9380	5.6320
0.353	20.54	95.9367	5.6319
0.362	20.54	95.9353	5.6319
0.370	20.55	95.9341	5.6318
0.378	20.57	95.9330	5.6317
0.387	20.58	95.9318	5.6316
0.395	20.59	95.9305	5.6316
0.403	20.61	95.9296	5.6315
0.412	20.63	95.9284	5.6315
0.420	20.66	95.9270	5.6314
0.428	20.68	95.9260	5.6313
0.437	20.71	95.9250	5.6312
0.445	20.74	95.9233	5.6312
0.453	20.77	95.9218	5.6311
0.462	20.81	95.9205	5.6310
0.470	20.85	95.9188	5.6309
0.478	20.89	95.9170	5.6308
0.487	20.93	95.9155	5.6307
0.495	20.98	95.9139	5.6306
0.503	21.03	95.9120	5.6305
0.512	21.08	95.9101	5.6304
0.520	21.13	95.9083	5.6303
0.528	21.19	95.9064	5.6302
0.537	21.25	95.9041	5.6300
0.545	21.31	95.9019	5.6299
0.553	21.37	95.8997	5.6298
0.562	21.43	95.8974	5.6296
0.570	21.50	95.8948	5.6295
0.578	21.56	95.8921	5.6293
0.587	21.63	95.8897	5.6292
0.595	21.70	95.8870	5.6290
0.603	21.77	95.8840	5.6288
0.612	21.84	95.8814	5.6287
0.620	21.92	95.8787	5.6285
0.628	21.99	95.8757	5.6284
0.637	22.06	95.8728	5.6282
0.645	22.14	95.8702	5.6280
0.653	22.22	95.8672	5.6279
0.662	22.29	95.8640	5.6277
0.670	22.37	95.8610	5.6275
0.678	22.45	95.8579	5.6273
0.687	22.53	95.8545	5.6271
0.695	22.60	95.8512	5.6269
0.703	22.68	95.8482	5.6267
0.712	22.76	95.8449	5.6265
0.720	22.84	95.8415	5.6263
0.728	22.92	95.8380	5.6261
0.737	23.00	95.8347	5.6259
0.745	23.08	95.8313	5.6257
0.753	23.16	95.8278	5.6255
0.762	23.24	95.8244	5.6253
0.770	23.32	95.8211	5.6252
0.778	23.41	95.8177	5.6249
0.787	23.49	95.8141	5.6247
0.795	23.57	95.8108	5.6245
0.803	23.65	95.8075	5.6244
0.812	23.74	95.8039	5.6241
0.820	23.82	95.8003	5.6239
0.828	23.90	95.7969	5.6237
0.837	23.98	95.7932	5.6235
