Time	Temperature	Weight	Weight	Heat Flow
min	°C	%	µg	mW
0.003		100.0011	11078.4695	
0.012		100.0026	11078.6259	
0.020		100.0039	11078.7796	
0.028		100.0053	11078.9297	
0.037		100.0066	11079.0761	
0.045	23.28	100.0079	11079.2171	-16.692
0.053	23.32	100.0091	11079.3535	-16.665
0.062	23.36	100.0103	11079.4826	-16.638
0.070	23.39	100.0114	11079.6063	-16.613
0.078	23.43	100.0124	11079.7209	-16.588
0.087	23.47	100.0134	11079.8273	-16.564
0.095	23.51	100.0143	11079.9265	-16.540
0.103	23.54	100.0151	11080.0174	-16.517
0.112	23.58	100.0159	11080.1002	-16.493
0.120	23.62	100.0165	11080.1748	-16.470
0.128	23.65	100.0171	11080.2421	-16.449
0.137	23.69	100.0177	11080.3021	-16.427
0.145	23.73	100.0182	11080.3558	-16.406
0.153	23.76	100.0186	11080.4021	-16.385
0.162	23.80	100.0189	11080.4413	-16.364
0.170	23.83	100.0192	11080.4749	-16.344
0.178	23.87	100.0195	11080.5022	-16.323
0.187	23.90	100.0197	11080.5240	-16.304
0.195	23.94	100.0198	11080.5413	-16.284
0.203	23.97	100.0200	11080.5540	-16.264
0.212	24.00	100.0200	11080.5604	-16.244
0.220	24.04	100.0200	11080.5622	-16.225
0.228	24.07	100.0200	11080.5595	-16.206
0.237	24.10	100.0199	11080.5513	-16.187
0.245	24.14	100.0198	11080.5395	-16.168
0.253	24.17	100.0197	11080.5222	-16.149
0.262	24.20	100.0195	11080.5013	-16.132
0.270	24.24	100.0192	11080.4749	-16.113
0.278	24.27	100.0190	11080.4449	-16.096
0.287	24.30	100.0187	11080.4112	-16.078
0.295	24.33	100.0183	11080.3730	-16.060
0.303	24.37	100.0179	11080.3303	-16.043
0.312	24.40	100.0175	11080.2839	-16.025
0.320	24.43	100.0171	11080.2348	-16.008
0.328	24.47	100.0166	11080.1811	-15.992
0.337	24.50	100.0161	11080.1238	-15.976
0.345	24.53	100.0155	11080.0638	-15.960
0.353	24.56	100.0150	11080.0001	-15.944
0.362	24.60	100.0144	11079.9338	-15.929
0.370	24.63	100.0137	11079.8646	-15.914
0.378	24.66	100.0131	11079.7928	-15.899
0.387	24.69	100.0124	11079.7173	-15.883
0.395	24.73	100.0117	11079.6382	-15.868
0.403	24.76	100.0110	11079.5572	-15.852
0.412	24.79	100.0102	11079.4726	-15.837
0.420	24.83	100.0094	11079.3853	-15.822
0.428	24.86	100.0086	11079.2953	-15.807
0.437	24.89	100.0077	11079.2007	-15.791
0.445	24.93	100.0069	11079.1034	-15.777
0.453	24.96	100.0059	11079.0024	-15.762
