Filename	CLSOx10_2
Instrument name	5500-0018 (192.168.1.3)
Operator	mp933
rundate	10/6/2022
Sample name	CLSOx10_2
proceduresegments	Select Gas: Gas 2 ; Mass Flow  25.00 mL/min; Ramp 10.00 °C/min to 110.00 °C; Isothermal 30.0 min; Ramp 10.00 °C/min to 950.00 °C; Isothermal 10.0 min; Data Off ; Equilibrate 40.00 °C
[step]
Ramp 10.00 °C/min to 110.00 °C
Time	Temperature	Weight	Weight
min	°C	%	mg
0.003	35.74	96.8161	5.8910
0.012	35.72	95.5795	5.8157
0.020	35.70	95.4060	5.8052
0.028	35.68	95.4418	5.8074
0.037	35.67	95.4793	5.8096
0.045	35.65	95.4309	5.8067
0.053	35.64	95.4245	5.8063
0.062	35.62	95.4690	5.8090
0.070	35.60	95.4221	5.8062
0.078	35.59	95.3938	5.8044
0.087	35.57	95.4482	5.8078
0.095	35.56	95.4203	5.8061
0.103	35.54	95.3693	5.8030
0.112	35.53	95.4425	5.8074
0.120	35.51	95.4215	5.8061
0.128	35.50	95.3985	5.8047
0.137	35.49	95.4228	5.8062
0.145	35.47	95.4180	5.8059
0.153	35.46	95.4038	5.8051
0.162	35.44	95.4108	5.8055
0.170	35.43	95.4019	5.8049
0.178	35.42	95.3936	5.8044
0.187	35.40	95.3920	5.8043
0.195	35.39	95.3815	5.8037
0.203	35.38	95.3770	5.8034
0.212	35.37	95.3739	5.8032
0.220	35.35	95.3686	5.8029
0.228	35.34	95.3662	5.8028
0.237	35.33	95.3654	5.8027
0.245	35.32	95.3636	5.8026
0.253	35.31	95.3600	5.8024
0.262	35.30	95.3579	5.8023
0.270	35.29	95.3562	5.8022
0.278	35.29	95.3521	5.8019
0.287	35.28	95.3498	5.8018
0.295	35.27	95.3479	5.8017
0.303	35.27	95.3451	5.8015
0.312	35.26	95.3422	5.8013
0.320	35.26	95.3397	5.8012
0.328	35.26	95.3368	5.8010
0.337	35.26	95.3335	5.8008
0.345	35.26	95.3311	5.8006
0.353	35.27	95.3286	5.8005
0.362	35.27	95.3257	5.8003
0.370	35.28	95.3233	5.8002
0.378	35.30	95.3206	5.8000
0.387	35.31	95.3177	5.7998
0.395	35.33	95.3150	5.7997
0.403	35.35	95.3121	5.7995
0.412	35.38	95.3086	5.7993
0.420	35.40	95.3053	5.7991
0.428	35.43	95.3021	5.7989
0.437	35.47	95.2984	5.7986
0.445	35.50	95.2945	5.7984
0.453	35.54	95.2910	5.7982
0.462	35.59	95.2865	5.7979
0.470	35.63	95.2811	5.7976
0.478	35.68	95.2765	5.7973
0.487	35.73	95.2713	5.7970
0.495	35.78	95.2658	5.7967
0.503	35.84	95.2615	5.7964
0.512	35.90	95.2571	5.7961
0.520	35.96	95.2524	5.7958
0.528	36.02	95.2480	5.7956
0.537	36.09	95.2435	5.7953
0.545	36.15	95.2385	5.7950
0.553	36.22	95.2337	5.7947
0.562	36.29	95.2289	5.7944
0.570	36.36	95.2235	5.7941
0.578	36.43	95.2183	5.7938
0.587	36.51	95.2131	5.7935
0.595	36.58	95.2076	5.7931
0.603	36.66	95.2019	5.7928
0.612	36.73	95.1965	5.7924
0.620	36.81	95.1904	5.7921
0.628	36.89	95.1840	5.7917
0.637	36.97	95.1779	5.7913
0.645	37.04	95.1716	5.7909
0.653	37.12	95.1648	5.7905
0.662	37.20	95.1591	5.7902
0.670	37.28	95.1533	5.7898
0.678	37.36	95.1470	5.7894
0.687	37.44	95.1411	5.7891
0.695	37.52	95.1354	5.7887
0.703	37.60	95.1290	5.7883
0.712	37.68	95.1227	5.7880
0.720	37.76	95.1168	5.7876
0.728	37.85	95.1105	5.7872
0.737	37.93	95.1042	5.7868
0.745	38.01	95.0981	5.7865
0.753	38.09	95.0917	5.7861
0.762	38.17	95.0853	5.7857
0.770	38.25	95.0792	5.7853
0.778	38.33	95.0728	5.7849
0.787	38.41	95.0664	5.7845
0.795	38.49	95.0602	5.7841
0.803	38.57	95.0538	5.7838
0.812	38.65	95.0473	5.7834
0.820	38.74	95.0410	5.7830
0.828	38.82	95.0347	5.7826
0.837	38.90	95.0280	5.7822
0.845	38.98	95.0216	5.7818
0.853	39.06	95.0153	5.7814
0.862	39.14	95.0087	5.7810
0.870	39.22	95.0023	5.7806
0.878	39.30	94.9960	5.7802
0.887	39.38	94.9895	5.7798
0.895	39.47	94.9829	5.7794
0.903	39.55	94.9765	5.7791
0.912	39.63	94.9699	5.7787
0.920	39.71	94.9632	5.7782
0.928	39.79	94.9568	5.7779
0.937	39.88	94.9503	5.7775
0.945	39.96	94.9437	5.7771
0.953	40.04	94.9372	5.7767
0.962	40.12	94.9306	5.7763
0.970	40.21	94.9239	5.7759
0.978	40.29	94.9172	5.7754
0.987	40.37	94.9107	5.7751
0.995	40.46	94.9040	5.7746
1.003	40.54	94.8974	5.7742
1.012	40.62	94.8909	5.7738
1.020	40.71	94.8841	5.7734
1.028	40.79	94.8774	5.7730
1.037	40.88	94.8708	5.7726
1.045	40.96	94.8640	5.7722
1.053	41.05	94.8573	5.7718
1.062	41.13	94.8507	5.7714
1.070	41.21	94.8440	5.7710
1.078	41.30	94.8373	5.7706
1.087	41.39	94.8306	5.7702
1.095	41.47	94.8239	5.7698
1.103	41.56	94.8171	5.7694
1.112	41.64	94.8104	5.7689
1.120	41.73	94.8036	5.7685
1.128	41.81	94.7968	5.7681
1.137	41.90	94.7901	5.7677
1.145	41.98	94.7833	5.7673
1.153	42.07	94.7765	5.7669
1.162	42.16	94.7698	5.7665
1.170	42.24	94.7631	5.7661
1.178	42.33	94.7562	5.7657
1.187	42.41	94.7494	5.7652
1.195	42.50	94.7427	5.7648
1.203	42.59	94.7359	5.7644
1.212	42.67	94.7290	5.7640
1.220	42.76	94.7224	5.7636
1.228	42.84	94.7157	5.7632
1.237	42.93	94.7088	5.7628
1.245	43.02	94.7021	5.7624
1.253	43.10	94.6954	5.7619
1.262	43.19	94.6885	5.7615
1.270	43.27	94.6816	5.7611
1.278	43.36	94.6749	5.7607
1.287	43.45	94.6679	5.7603
1.295	43.53	94.6610	5.7599
1.303	43.62	94.6542	5.7594
1.312	43.70	94.6472	5.7590
1.320	43.79	94.6403	5.7586
1.328	43.87	94.6335	5.7582
1.337	43.96	94.6267	5.7578
1.345	44.04	94.6199	5.7574
1.353	44.13	94.6132	5.7570
1.362	44.21	94.6063	5.7565
1.370	44.30	94.5996	5.7561
1.378	44.39	94.5931	5.7557
1.387	44.47	94.5864	5.7553
1.395	44.56	94.5797	5.7549
1.403	44.64	94.5730	5.7545
1.412	44.73	94.5663	5.7541
1.420	44.81	94.5596	5.7537
1.428	44.90	94.5529	5.7533
1.437	44.98	94.5461	5.7529
1.445	45.07	94.5393	5.7525
1.453	45.15	94.5325	5.7520
1.462	45.24	94.5259	5.7516
1.470	45.32	94.5190	5.7512
1.478	45.41	94.5121	5.7508
1.487	45.49	94.5055	5.7504
1.495	45.58	94.4988	5.7500
1.503	45.66	94.4921	5.7496
1.512	45.75	94.4854	5.7492
1.520	45.83	94.4787	5.7488
1.528	45.92	94.4719	5.7484
1.537	46.00	94.4653	5.7480
1.545	46.08	94.4587	5.7475
1.553	46.17	94.4519	5.7471
1.562	46.25	94.4453	5.7467
1.570	46.34	94.4387	5.7463
1.578	46.42	94.4321	5.7459
1.587	46.51	94.4256	5.7455
1.595	46.59	94.4190	5.7451
1.603	46.68	94.4123	5.7447
1.612	46.76	94.4057	5.7443
1.620	46.85	94.3990	5.7439
1.628	46.93	94.3923	5.7435
1.637	47.02	94.3857	5.7431
1.645	47.10	94.3792	5.7427
1.653	47.19	94.3727	5.7423
1.662	47.27	94.3660	5.7419
1.670	47.36	94.3594	5.7415
1.678	47.44	94.3527	5.7411
1.687	47.53	94.3461	5.7407
1.695	47.61	94.3395	5.7403
1.703	47.70	94.3329	5.7399
1.712	47.78	94.3263	5.7395
1.720	47.87	94.3198	5.7391
1.728	47.95	94.3132	5.7387
1.737	48.04	94.3067	5.7383
1.745	48.12	94.3003	5.7379
1.753	48.21	94.2938	5.7375
1.762	48.29	94.2873	5.7371
1.770	48.38	94.2808	5.7367
1.778	48.46	94.2745	5.7363
1.787	48.55	94.2681	5.7359
1.795	48.63	94.2615	5.7356
1.803	48.72	94.2551	5.7352
1.812	48.80	94.2486	5.7348
1.820	48.89	94.2422	5.7344
1.828	48.97	94.2358	5.7340
1.837	49.06	94.2293	5.7336
1.845	49.14	94.2229	5.7332
1.853	49.23	94.2166	5.7328
1.862	49.31	94.2103	5.7324
1.870	49.40	94.2040	5.7320
1.878	49.48	94.1977	5.7317
1.887	49.57	94.1914	5.7313
1.895	49.65	94.1851	5.7309
1.903	49.74	94.1788	5.7305
1.912	49.82	94.1725	5.7301
1.920	49.91	94.1663	5.7298
1.928	49.99	94.1600	5.7294
1.937	50.08	94.1537	5.7290
1.945	50.16	94.1473	5.7286
1.953	50.25	94.1410	5.7282
1.962	50.33	94.1348	5.7278
1.970	50.42	94.1286	5.7275
