Time	Temperature	Weight	Weight	Heat Flow
min	°C	%	mg	mW
0.003		99.9860	9.9227	
0.012		99.9791	9.9220	
0.020		99.9805	9.9221	
0.028		99.9849	9.9226	
0.037		99.9904	9.9231	
0.045	21.91	99.9962	9.9237	-17.331
0.053	21.91	100.0022	9.9243	-17.335
0.062	21.91	100.0082	9.9249	-17.340
0.070	21.91	100.0140	9.9254	-17.346
0.078	21.91	100.0194	9.9260	-17.354
0.087	21.91	100.0231	9.9264	-17.364
0.095	21.91	100.0251	9.9265	-17.374
0.103	21.91	100.0263	9.9267	-17.386
0.112	21.90	100.0273	9.9268	-17.397
0.120	21.90	100.0279	9.9268	-17.408
0.128	21.90	100.0283	9.9269	-17.420
0.137	21.90	100.0284	9.9269	-17.431
0.145	21.90	100.0284	9.9269	-17.443
0.153	21.90	100.0282	9.9269	-17.454
0.162	21.90	100.0277	9.9268	-17.464
0.170	21.90	100.0272	9.9268	-17.475
0.178	21.90	100.0264	9.9267	-17.486
0.187	21.90	100.0254	9.9266	-17.497
0.195	21.90	100.0243	9.9265	-17.508
0.203	21.90	100.0230	9.9263	-17.521
0.212	21.90	100.0216	9.9262	-17.534
0.220	21.91	100.0199	9.9260	-17.548
0.228	21.91	100.0181	9.9259	-17.562
0.237	21.91	100.0161	9.9257	-17.578
0.245	21.91	100.0140	9.9254	-17.594
0.253	21.91	100.0117	9.9252	-17.610
0.262	21.91	100.0092	9.9250	-17.626
0.270	21.92	100.0066	9.9247	-17.643
0.278	21.92	100.0038	9.9244	-17.660
0.287	21.93	100.0008	9.9241	-17.678
0.295	21.93	99.9976	9.9238	-17.696
0.303	21.93	99.9943	9.9235	-17.714
0.312	21.94	99.9908	9.9231	-17.732
0.320	21.94	99.9871	9.9228	-17.750
0.328	21.95	99.9833	9.9224	-17.768
0.337	21.96	99.9794	9.9220	-17.786
0.345	21.97	99.9752	9.9216	-17.805
0.353	21.97	99.9710	9.9212	-17.825
0.362	21.98	99.9666	9.9207	-17.844
0.370	21.99	99.9621	9.9203	-17.864
0.378	22.00	99.9575	9.9198	-17.885
0.387	22.01	99.9528	9.9194	-17.906
