Time,Temperature,Weight,Weight
0.003,29.91,99.722,24958.095
0.012,29.91,99.636,24936.544
0.02,29.91,99.637,24936.895
0.028,29.91,99.647,24939.345
0.037,29.91,99.643,24938.534
0.045,29.91,99.641,24937.837
0.053,29.91,99.647,24939.303
0.062,29.91,99.647,24939.349
0.07,29.91,99.641,24937.879
0.078,29.91,99.648,24939.722
0.087,29.91,99.651,24940.447
0.095,29.92,99.649,24940.004
0.103,29.92,99.651,24940.522
0.112,29.92,99.653,24941.037
0.12,29.92,99.652,24940.548
0.128,29.92,99.652,24940.6
0.137,29.92,99.652,24940.768
0.145,29.92,99.652,24940.7
0.153,29.92,99.652,24940.691
0.162,29.92,99.652,24940.673
0.17,29.92,99.652,24940.651
0.178,29.92,99.652,24940.597
0.187,29.93,99.652,24940.562
0.195,29.93,99.652,24940.566
0.203,29.93,99.652,24940.578
0.212,29.93,99.652,24940.589
0.22,29.93,99.652,24940.617
0.228,29.93,99.652,24940.666
0.237,29.94,99.652,24940.688
0.245,29.94,99.652,24940.688
0.253,29.94,99.652,24940.698
0.262,29.94,99.652,24940.711
0.27,29.95,99.652,24940.704
0.278,29.95,99.652,24940.709
0.287,29.95,99.652,24940.729
0.295,29.96,99.652,24940.748
0.303,29.97,99.652,24940.757
0.312,29.97,99.652,24940.784
0.32,29.98,99.653,24940.828
0.328,29.99,99.653,24940.86
0.337,30,99.653,24940.904
0.345,30.02,99.653,24940.966
0.353,30.03,99.653,24941.022
0.362,30.05,99.654,24941.084
0.37,30.07,99.654,24941.157
0.378,30.1,99.654,24941.237
0.387,30.12,99.655,24941.315
0.395,30.15,99.655,24941.392
0.403,30.18,99.655,24941.473
0.412,30.22,99.656,24941.559
0.42,30.26,99.656,24941.643
0.428,30.3,99.656,24941.721
0.437,30.35,99.657,24941.803
0.445,30.4,99.657,24941.892
0.453,30.45,99.657,24941.975
0.462,30.5,99.658,24942.057
0.47,30.56,99.658,24942.139
0.478,30.62,99.658,24942.201
0.487,30.68,99.658,24942.263
0.495,30.75,99.659,24942.341
0.503,30.81,99.659,24942.399
0.512,30.88,99.659,24942.45
0.52,30.95,99.659,24942.512
0.528,31.02,99.66,24942.574
0.537,31.09,99.66,24942.621
0.545,31.17,99.66,24942.667
0.553,31.24,99.66,24942.721
0.562,31.32,99.66,24942.765
0.57,31.39,99.661,24942.814
0.578,31.47,99.661,24942.854
0.587,31.55,99.661,24942.887
0.595,31.62,99.661,24942.919
0.603,31.7,99.661,24942.949
0.612,31.78,99.661,24942.989
0.62,31.86,99.661,24943.025
0.628,31.94,99.662,24943.06
0.637,32.01,99.662,24943.085
0.645,32.09,99.662,24943.12
0.653,32.17,99.662,24943.152
0.662,32.25,99.662,24943.174
0.67,32.33,99.662,24943.205
0.678,32.4,99.662,24943.24
0.687,32.48,99.662,24943.265
0.695,32.56,99.662,24943.289
0.703,32.64,99.663,24943.321
0.712,32.71,99.663,24943.352
0.72,32.79,99.663,24943.376
0.728,32.87,99.663,24943.414
0.737,32.95,99.663,24943.454
0.745,33.03,99.663,24943.487
0.753,33.1,99.663,24943.518
0.762,33.18,99.664,24943.551
0.77,33.26,99.664,24943.583
0.778,33.34,99.664,24943.616
0.787,33.42,99.664,24943.645
0.795,33.5,99.664,24943.673
0.803,33.58,99.664,24943.698
0.812,33.66,99.664,24943.731
0.82,33.74,99.664,24943.763
0.828,33.82,99.665,24943.794
0.837,33.9,99.665,24943.829
0.845,33.98,99.665,24943.865
0.853,34.06,99.665,24943.898
0.862,34.14,99.665,24943.933
0.87,34.23,99.665,24943.962
0.878,34.31,99.665,24943.991
0.887,34.39,99.665,24944.035
0.895,34.47,99.666,24944.073
0.903,34.56,99.666,24944.1
0.912,34.64,99.666,24944.136
0.92,34.72,99.666,24944.173
0.928,34.81,99.666,24944.196
0.937,34.89,99.666,24944.227
0.945,34.98,99.666,24944.26
0.953,35.06,99.666,24944.286
0.962,35.14,99.667,24944.311
0.97,35.23,99.667,24944.34
0.978,35.31,99.667,24944.364
0.987,35.4,99.667,24944.384
0.995,35.48,99.667,24944.407
1.003,35.57,99.667,24944.431
1.012,35.65,99.667,24944.458
1.02,35.74,99.667,24944.484
1.028,35.83,99.667,24944.511
1.037,35.91,99.667,24944.537
1.045,36,99.668,24944.557
1.053,36.08,99.668,24944.571
1.062,36.17,99.668,24944.587
1.07,36.25,99.668,24944.613
1.078,36.34,99.668,24944.635
1.087,36.42,99.668,24944.658
1.095,36.51,99.668,24944.68
1.103,36.59,99.668,24944.698
1.112,36.68,99.668,24944.717
1.12,36.76,99.668,24944.748
1.128,36.85,99.668,24944.769
1.137,36.93,99.668,24944.78
1.145,37.02,99.669,24944.802
1.153,37.11,99.669,24944.828
1.162,37.19,99.669,24944.857
1.17,37.28,99.669,24944.882
1.178,37.36,99.669,24944.9
1.187,37.45,99.669,24944.924
1.195,37.53,99.669,24944.94
1.203,37.62,99.669,24944.96
1.212,37.7,99.669,24944.977
1.22,37.79,99.669,24944.997
1.228,37.87,99.669,24945.017
1.237,37.96,99.669,24945.04
