Time	Temperature	Weight	Weight	Heat Flow
min	°C	%	mg	mW
0.003		99.9942	10.8796	
0.012		99.9864	10.8788	
0.020		99.9845	10.8786	
0.028		99.9867	10.8788	
0.037		99.9900	10.8792	
0.045	25.42	99.9939	10.8796	-22.824
0.053	25.50	99.9974	10.8800	-22.781
0.062	25.58	100.0002	10.8803	-22.738
0.070	25.66	100.0020	10.8805	-22.696
0.078	25.74	100.0028	10.8806	-22.656
0.087	25.82	100.0027	10.8805	-22.615
0.095	25.90	100.0022	10.8805	-22.575
0.103	25.98	100.0015	10.8804	-22.535
0.112	26.06	100.0006	10.8803	-22.497
0.120	26.14	99.9995	10.8802	-22.460
0.128	26.21	99.9983	10.8801	-22.424
0.137	26.29	99.9970	10.8799	-22.387
0.145	26.37	99.9956	10.8798	-22.351
0.153	26.45	99.9940	10.8796	-22.316
0.162	26.52	99.9924	10.8794	-22.282
0.170	26.60	99.9906	10.8792	-22.249
0.178	26.67	99.9887	10.8790	-22.217
0.187	26.75	99.9868	10.8788	-22.186
0.195	26.82	99.9846	10.8786	-22.155
0.203	26.90	99.9824	10.8783	-22.124
0.212	26.97	99.9801	10.8781	-22.094
0.220	27.04	99.9777	10.8778	-22.065
0.228	27.12	99.9752	10.8775	-22.036
0.237	27.19	99.9726	10.8773	-22.008
0.245	27.26	99.9698	10.8770	-21.981
0.253	27.33	99.9670	10.8767	-21.953
0.262	27.40	99.9641	10.8763	-21.927
0.270	27.47	99.9610	10.8760	-21.900
0.278	27.54	99.9579	10.8757	-21.875
0.287	27.61	99.9547	10.8753	-21.850
0.295	27.68	99.9513	10.8749	-21.825
0.303	27.75	99.9479	10.8746	-21.801
0.312	27.81	99.9444	10.8742	-21.777
0.320	27.88	99.9407	10.8738	-21.753
0.328	27.95	99.9370	10.8734	-21.731
0.337	28.02	99.9332	10.8730	-21.708
0.345	28.08	99.9292	10.8725	-21.685
0.353	28.15	99.9252	10.8721	-21.663
0.362	28.21	99.9211	10.8717	-21.640
0.370	28.28	99.9169	10.8712	-21.618
0.378	28.34	99.9126	10.8707	-21.597
0.387	28.41	99.9082	10.8703	-21.576
0.395	28.47	99.9037	10.8698	-21.556
0.403	28.54	99.8991	10.8693	-21.536
0.412	28.60	99.8945	10.8688	-21.517
0.420	28.66	99.8898	10.8682	-21.498
0.428	28.72	99.8849	10.8677	-21.479
0.437	28.79	99.8800	10.8672	-21.460
0.445	28.85	99.8751	10.8666	-21.443
0.453	28.91	99.8700	10.8661	-21.425
0.462	28.97	99.8649	10.8655	-21.407
0.470	29.03	99.8597	10.8650	-21.389
0.478	29.09	99.8545	10.8644	-21.372
0.487	29.15	99.8492	10.8638	-21.354
0.495	29.21	99.8438	10.8632	-21.337
0.503	29.27	99.8383	10.8627	-21.320
0.512	29.32	99.8328	10.8621	-21.302
0.520	29.38	99.8273	10.8614	-21.286
0.528	29.44	99.8216	10.8608	-21.269
0.537	29.50	99.8160	10.8602	-21.252
0.545	29.55	99.8102	10.8596	-21.236
0.553	29.61	99.8044	10.8590	-21.221
0.562	29.66	99.7986	10.8583	-21.205
0.570	29.72	99.7927	10.8577	-21.190
0.578	29.78	99.7867	10.8570	-21.175
0.587	29.83	99.7807	10.8564	-21.160
0.595	29.88	99.7747	10.8557	-21.145
0.603	29.94	99.7686	10.8551	-21.130
0.612	29.99	99.7624	10.8544	-21.115
0.620	30.04	99.7563	10.8537	-21.100
0.628	30.10	99.7500	10.8530	-21.085
0.637	30.15	99.7438	10.8524	-21.070
0.645	30.20	99.7375	10.8517	-21.056
0.653	30.26	99.7311	10.8510	-21.041
0.662	30.31	99.7248	10.8503	-21.027
0.670	30.36	99.7184	10.8496	-21.012
0.678	30.41	99.7119	10.8489	-20.998
0.687	30.46	99.7054	10.8482	-20.984
0.695	30.51	99.6989	10.8475	-20.970
0.703	30.56	99.6924	10.8468	-20.956
0.712	30.61	99.6858	10.8461	-20.942
0.720	30.66	99.6792	10.8453	-20.928
0.728	30.71	99.6725	10.8446	-20.914
0.737	30.76	99.6659	10.8439	-20.900
0.745	30.81	99.6592	10.8432	-20.886
0.753	30.86	99.6525	10.8424	-20.873
0.762	30.91	99.6457	10.8417	-20.859
0.770	30.96	99.6389	10.8410	-20.845
0.778	31.01	99.6321	10.8402	-20.831
0.787	31.06	99.6253	10.8395	-20.817
0.795	31.11	99.6185	10.8387	-20.804
0.803	31.15	99.6117	10.8380	-20.790
0.812	31.20	99.6048	10.8372	-20.777
0.820	31.25	99.5979	10.8365	-20.764
0.828	31.30	99.5910	10.8357	-20.751
0.837	31.35	99.5841	10.8350	-20.738
0.845	31.39	99.5772	10.8342	-20.725
0.853	31.44	99.5702	10.8335	-20.713
0.862	31.49	99.5633	10.8327	-20.700
0.870	31.53	99.5563	10.8320	-20.687
0.878	31.58	99.5493	10.8312	-20.675
0.887	31.63	99.5422	10.8304	-20.662
0.895	31.68	99.5352	10.8297	-20.649
0.903	31.72	99.5282	10.8289	-20.636
0.912	31.77	99.5211	10.8281	-20.623
0.920	31.82	99.5141	10.8274	-20.611
0.928	31.86	99.5070	10.8266	-20.598
0.937	31.91	99.4999	10.8258	-20.586
0.945	31.96	99.4929	10.8251	-20.574
0.953	32.01	99.4858	10.8243	-20.562
0.962	32.06	99.4787	10.8235	-20.550
0.970	32.10	99.4716	10.8228	-20.537
0.978	32.15	99.4645	10.8220	-20.524
0.987	32.20	99.4574	10.8212	-20.512
0.995	32.25	99.4503	10.8204	-20.499
1.003	32.30	99.4432	10.8197	-20.487
1.012	32.35	99.4361	10.8189	-20.476
1.020	32.39	99.4290	10.8181	-20.464
1.028	32.44	99.4219	10.8173	-20.452
1.037	32.49	99.4149	10.8166	-20.440
1.045	32.54	99.4078	10.8158	-20.429
1.053	32.59	99.4006	10.8150	-20.417
1.062	32.64	99.3936	10.8143	-20.406
1.070	32.69	99.3864	10.8135	-20.394
1.078	32.74	99.3793	10.8127	-20.382
1.087	32.79	99.3722	10.8119	-20.370
1.095	32.84	99.3651	10.8112	-20.358
1.103	32.89	99.3580	10.8104	-20.345
1.112	32.94	99.3509	10.8096	-20.332
1.120	33.00	99.3438	10.8089	-20.319
1.128	33.05	99.3368	10.8081	-20.305
1.137	33.10	99.3297	10.8073	-20.292
1.145	33.15	99.3226	10.8065	-20.279
1.153	33.20	99.3155	10.8058	-20.266
1.162	33.26	99.3084	10.8050	-20.252
1.170	33.31	99.3013	10.8042	-20.238
1.178	33.36	99.2943	10.8035	-20.224
1.187	33.42	99.2872	10.8027	-20.211
1.195	33.47	99.2801	10.8019	-20.198
1.203	33.52	99.2730	10.8011	-20.184
1.212	33.58	99.2659	10.8004	-20.170
1.220	33.63	99.2588	10.7996	-20.156
1.228	33.69	99.2517	10.7988	-20.142
1.237	33.74	99.2446	10.7981	-20.128
1.245	33.80	99.2375	10.7973	-20.114
1.253	33.85	99.2304	10.7965	-20.100
1.262	33.91	99.2233	10.7957	-20.086
1.270	33.96	99.2161	10.7950	-20.071
1.278	34.02	99.2090	10.7942	-20.056
1.287	34.08	99.2019	10.7934	-20.041
1.295	34.13	99.1948	10.7926	-20.027
1.303	34.19	99.1877	10.7919	-20.013
1.312	34.25	99.1806	10.7911	-19.998
1.320	34.31	99.1734	10.7903	-19.982
1.328	34.36	99.1663	10.7895	-19.966
1.337	34.42	99.1592	10.7888	-19.950
1.345	34.48	99.1520	10.7880	-19.934
1.353	34.54	99.1449	10.7872	-19.918
1.362	34.60	99.1377	10.7864	-19.901
1.370	34.66	99.1305	10.7856	-19.884
1.378	34.72	99.1234	10.7849	-19.867
1.387	34.78	99.1162	10.7841	-19.850
1.395	34.84	99.1091	10.7833	-19.833
1.403	34.90	99.1019	10.7825	-19.815
1.412	34.96	99.0947	10.7817	-19.798
