Time	Temperature	Weight	Weight	Heat Flow
min	°C	%	mg	mW
0.003		100.0625	4.1708	
0.012		100.1268	4.1735	
0.020		100.1742	4.1754	
0.028		100.2069	4.1768	
0.037		100.2292	4.1777	
0.045	24.57	100.2447	4.1784	-24.118
0.053	24.66	100.2557	4.1788	-24.070
0.062	24.75	100.2638	4.1792	-24.022
0.070	24.83	100.2697	4.1794	-23.976
0.078	24.92	100.2738	4.1796	-23.930
0.087	25.00	100.2767	4.1797	-23.883
0.095	25.09	100.2792	4.1798	-23.838
0.103	25.17	100.2812	4.1799	-23.793
0.112	25.26	100.2827	4.1800	-23.749
0.120	25.34	100.2838	4.1800	-23.705
0.128	25.42	100.2845	4.1800	-23.662
0.137	25.50	100.2847	4.1801	-23.620
0.145	25.59	100.2845	4.1800	-23.578
0.153	25.67	100.2839	4.1800	-23.537
0.162	25.75	100.2829	4.1800	-23.497
0.170	25.83	100.2816	4.1799	-23.457
0.178	25.91	100.2799	4.1799	-23.417
0.187	25.99	100.2778	4.1798	-23.378
0.195	26.07	100.2754	4.1797	-23.339
0.203	26.15	100.2726	4.1795	-23.301
0.212	26.23	100.2694	4.1794	-23.263
0.220	26.31	100.2660	4.1793	-23.226
0.228	26.38	100.2622	4.1791	-23.190
0.237	26.46	100.2581	4.1789	-23.154
0.245	26.54	100.2538	4.1788	-23.118
0.253	26.61	100.2490	4.1786	-23.082
0.262	26.69	100.2440	4.1784	-23.048
0.270	26.76	100.2386	4.1781	-23.013
0.278	26.84	100.2330	4.1779	-22.978
0.287	26.91	100.2270	4.1776	-22.944
0.295	26.99	100.2207	4.1774	-22.911
0.303	27.06	100.2142	4.1771	-22.877
0.312	27.13	100.2073	4.1768	-22.844
0.320	27.21	100.2001	4.1765	-22.811
0.328	27.28	100.1926	4.1762	-22.778
0.337	27.35	100.1849	4.1759	-22.747
0.345	27.42	100.1769	4.1756	-22.715
0.353	27.49	100.1686	4.1752	-22.683
0.362	27.56	100.1600	4.1749	-22.652
0.370	27.63	100.1513	4.1745	-22.622
0.378	27.70	100.1422	4.1741	-22.591
0.387	27.77	100.1330	4.1737	-22.560
0.395	27.84	100.1235	4.1733	-22.530
0.403	27.91	100.1138	4.1729	-22.499
0.412	27.98	100.1039	4.1725	-22.470
0.420	28.04	100.0938	4.1721	-22.440
0.428	28.11	100.0835	4.1717	-22.410
0.437	28.18	100.0730	4.1712	-22.380
0.445	28.24	100.0623	4.1708	-22.351
0.453	28.31	100.0514	4.1703	-22.322
0.462	28.38	100.0404	4.1699	-22.293
0.470	28.44	100.0292	4.1694	-22.265
0.478	28.51	100.0178	4.1689	-22.237
0.487	28.57	100.0063	4.1684	-22.209
0.495	28.63	99.9946	4.1680	-22.181
0.503	28.70	99.9828	4.1675	-22.153
0.512	28.76	99.9708	4.1670	-22.126
0.520	28.82	99.9587	4.1665	-22.099
0.528	28.89	99.9465	4.1660	-22.072
0.537	28.95	99.9342	4.1654	-22.044
0.545	29.01	99.9217	4.1649	-22.017
0.553	29.07	99.9092	4.1644	-21.990
0.562	29.13	99.8965	4.1639	-21.963
0.570	29.19	99.8838	4.1633	-21.935
0.578	29.25	99.8710	4.1628	-21.908
0.587	29.31	99.8581	4.1623	-21.881
0.595	29.37	99.8451	4.1617	-21.854
0.603	29.43	99.8320	4.1612	-21.827
0.612	29.49	99.8189	4.1606	-21.800
0.620	29.54	99.8057	4.1601	-21.774
0.628	29.60	99.7925	4.1595	-21.747
0.637	29.66	99.7792	4.1590	-21.720
0.645	29.72	99.7659	4.1584	-21.693
0.653	29.77	99.7525	4.1579	-21.667
0.662	29.83	99.7390	4.1573	-21.641
0.670	29.89	99.7256	4.1567	-21.615
0.678	29.94	99.7121	4.1562	-21.589
0.687	30.00	99.6985	4.1556	-21.562
0.695	30.05	99.6850	4.1551	-21.536
0.703	30.11	99.6714	4.1545	-21.510
0.712	30.16	99.6578	4.1539	-21.484
0.720	30.22	99.6441	4.1534	-21.458
0.728	30.27	99.6305	4.1528	-21.433
0.737	30.32	99.6168	4.1522	-21.408
0.745	30.38	99.6031	4.1516	-21.382
0.753	30.43	99.5894	4.1511	-21.356
0.762	30.48	99.5757	4.1505	-21.331
0.770	30.53	99.5620	4.1499	-21.306
0.778	30.58	99.5482	4.1494	-21.280
0.787	30.64	99.5345	4.1488	-21.254
0.795	30.69	99.5207	4.1482	-21.229
0.803	30.74	99.5070	4.1476	-21.204
0.812	30.79	99.4933	4.1471	-21.177
0.820	30.84	99.4795	4.1465	-21.152
0.828	30.89	99.4658	4.1459	-21.126
0.837	30.95	99.4521	4.1453	-21.101
0.845	31.00	99.4384	4.1448	-21.075
0.853	31.05	99.4248	4.1442	-21.050
0.862	31.10	99.4111	4.1436	-21.025
0.870	31.15	99.3975	4.1431	-21.001
0.878	31.20	99.3839	4.1425	-20.976
0.887	31.25	99.3704	4.1419	-20.951
0.895	31.30	99.3568	4.1414	-20.926
0.903	31.34	99.3433	4.1408	-20.901
0.912	31.39	99.3299	4.1403	-20.877
0.920	31.44	99.3164	4.1397	-20.852
0.928	31.49	99.3029	4.1391	-20.827
0.937	31.54	99.2895	4.1386	-20.802
0.945	31.59	99.2761	4.1380	-20.777
0.953	31.64	99.2628	4.1375	-20.752
0.962	31.69	99.2495	4.1369	-20.727
0.970	31.74	99.2362	4.1363	-20.702
0.978	31.79	99.2229	4.1358	-20.677
0.987	31.84	99.2097	4.1352	-20.652
0.995	31.89	99.1966	4.1347	-20.628
1.003	31.94	99.1835	4.1342	-20.603
1.012	31.99	99.1705	4.1336	-20.579
1.020	32.04	99.1575	4.1331	-20.554
1.028	32.09	99.1446	4.1325	-20.531
1.037	32.14	99.1317	4.1320	-20.506
1.045	32.19	99.1189	4.1315	-20.482
1.053	32.24	99.1062	4.1309	-20.458
1.062	32.29	99.0935	4.1304	-20.434
1.070	32.34	99.0809	4.1299	-20.410
1.078	32.39	99.0683	4.1294	-20.386
1.087	32.44	99.0558	4.1288	-20.362
1.095	32.49	99.0433	4.1283	-20.339
1.103	32.54	99.0309	4.1278	-20.315
1.112	32.59	99.0185	4.1273	-20.291
1.120	32.65	99.0062	4.1268	-20.267
1.128	32.70	98.9940	4.1263	-20.244
1.137	32.75	98.9818	4.1257	-20.220
1.145	32.80	98.9696	4.1252	-20.197
1.153	32.85	98.9576	4.1247	-20.173
1.162	32.91	98.9455	4.1242	-20.149
1.170	32.96	98.9336	4.1237	-20.125
1.178	33.01	98.9217	4.1232	-20.100
1.187	33.07	98.9099	4.1227	-20.076
1.195	33.12	98.8981	4.1223	-20.052
1.203	33.17	98.8864	4.1218	-20.027
1.212	33.23	98.8748	4.1213	-20.003
1.220	33.28	98.8633	4.1208	-19.978
1.228	33.34	98.8518	4.1203	-19.954
1.237	33.39	98.8403	4.1198	-19.930
1.245	33.44	98.8289	4.1194	-19.905
1.253	33.50	98.8176	4.1189	-19.880
1.262	33.55	98.8063	4.1184	-19.856
1.270	33.61	98.7951	4.1180	-19.832
1.278	33.67	98.7839	4.1175	-19.807
1.287	33.72	98.7727	4.1170	-19.783
1.295	33.78	98.7616	4.1166	-19.758
1.303	33.84	98.7505	4.1161	-19.733
1.312	33.89	98.7395	4.1156	-19.707
1.320	33.95	98.7285	4.1152	-19.682
1.328	34.01	98.7176	4.1147	-19.657
1.337	34.06	98.7067	4.1143	-19.631
1.345	34.12	98.6959	4.1138	-19.605
1.353	34.18	98.6851	4.1134	-19.579
1.362	34.24	98.6743	4.1129	-19.553
1.370	34.30	98.6636	4.1125	-19.526
1.378	34.36	98.6530	4.1120	-19.500
1.387	34.41	98.6423	4.1116	-19.474
