##Temp./>C,Time/min,Mass/%,Segment
 33.39100,  0.00000,100.00000,1
 33.58000,  0.01000,100.00952,1
 33.74300,  0.02000,100.00000,1
 33.89800,  0.03000,100.00000,1
 34.07000,  0.04000,100.00000,1
 34.21200,  0.05000,100.00952,1
 34.36500,  0.06000,100.00952,1
 34.53000,  0.07000,100.00000,1
 34.68800,  0.08000, 99.99048,1
 34.85100,  0.09000, 99.99048,1
 34.99600,  0.10000,100.00000,1
 35.15800,  0.11000, 99.99048,1
 35.32000,  0.12000, 99.99048,1
 35.48400,  0.13000, 99.99048,1
 35.65100,  0.14000, 99.98095,1
 35.80000,  0.15000, 99.98095,1
 35.94600,  0.16000, 99.99048,1
 36.09300,  0.17000, 99.99048,1
 36.26400,  0.18000, 99.99048,1
 36.39600,  0.19000, 99.98095,1
 36.56800,  0.20000, 99.98095,1
 36.72400,  0.21000, 99.98095,1
 36.87100,  0.22000, 99.98095,1
 37.02500,  0.23000, 99.98095,1
 37.17400,  0.24000, 99.98095,1
 37.32900,  0.25000, 99.98095,1
 37.47400,  0.26000, 99.98095,1
 37.63100,  0.27000, 99.98095,1
 37.77200,  0.28000, 99.98095,1
 37.90000,  0.29000, 99.98095,1
 38.05900,  0.30000, 99.98095,1
 38.19600,  0.31000, 99.98095,1
 38.33600,  0.32000, 99.98095,1
 38.48000,  0.33000, 99.98095,1
 38.63600,  0.34000, 99.98095,1
 38.76600,  0.35000, 99.98095,1
 38.91300,  0.36000, 99.98095,1
 39.06600,  0.37000, 99.98095,1
 39.16900,  0.38000, 99.98095,1
 39.32900,  0.39000, 99.98095,1
 39.45800,  0.40000, 99.96190,1
 39.59000,  0.41000, 99.96190,1
 39.71600,  0.42000, 99.95238,1
 39.83900,  0.43000, 99.95238,1
 39.96500,  0.44000, 99.94286,1
 40.09700,  0.45000, 99.93333,1
 40.23900,  0.46000, 99.95238,1
 40.36100,  0.47000, 99.94286,1
 40.48400,  0.48000, 99.94286,1
 40.61000,  0.49000, 99.93333,1
 40.73400,  0.50000, 99.93333,1
