Filename	CLSOx100_5
Instrument name	5500-0018 (192.168.1.3)
Operator	mp933
rundate	10/25/2022
Sample name	CLSOx100_5
proceduresegments	Select Gas: Gas 2 ; Mass Flow  25.00 mL/min; Ramp 10.00 °C/min to 110.00 °C; Isothermal 30.0 min; Ramp 100.00 °C/min to 950.00 °C; Isothermal 10.0 min; Data Off ; Equilibrate 40.00 °C
[step]
Ramp 10.00 °C/min to 110.00 °C
Time	Temperature	Weight	Weight
min	°C	%	mg
0.003	35.22	97.7204	6.3341
0.012	35.20	96.8734	6.2792
0.020	35.18	96.8084	6.2750
0.028	35.16	96.8513	6.2778
0.037	35.14	96.8576	6.2782
0.045	35.12	96.8378	6.2769
0.053	35.11	96.8300	6.2764
0.062	35.09	96.8460	6.2774
0.070	35.07	96.8467	6.2775
0.078	35.05	96.8225	6.2759
0.087	35.04	96.8164	6.2755
0.095	35.02	96.8379	6.2769
0.103	35.00	96.8275	6.2762
0.112	34.99	96.8164	6.2755
0.120	34.97	96.8270	6.2762
0.128	34.96	96.8264	6.2762
0.137	34.94	96.8240	6.2760
0.145	34.92	96.8152	6.2754
0.153	34.91	96.8234	6.2760
0.162	34.89	96.8157	6.2755
0.170	34.88	96.8237	6.2760
0.178	34.86	96.8255	6.2761
0.187	34.85	96.8241	6.2760
0.195	34.84	96.8210	6.2758
0.203	34.82	96.8139	6.2753
0.212	34.81	96.8071	6.2749
0.220	34.80	96.8026	6.2746
0.228	34.78	96.8000	6.2744
0.237	34.77	96.7986	6.2744
0.245	34.76	96.7964	6.2742
0.253	34.75	96.7940	6.2741
0.262	34.74	96.7918	6.2739
0.270	34.73	96.7900	6.2738
0.278	34.72	96.7881	6.2737
0.287	34.71	96.7864	6.2736
0.295	34.70	96.7851	6.2735
0.303	34.69	96.7842	6.2734
0.312	34.69	96.7827	6.2733
0.320	34.68	96.7810	6.2732
0.328	34.68	96.7798	6.2731
0.337	34.68	96.7786	6.2731
0.345	34.68	96.7771	6.2730
0.353	34.69	96.7757	6.2729
0.362	34.69	96.7745	6.2728
0.370	34.70	96.7729	6.2727
0.378	34.71	96.7717	6.2726
0.387	34.73	96.7705	6.2725
0.395	34.74	96.7689	6.2724
0.403	34.76	96.7673	6.2723
0.412	34.79	96.7658	6.2722
0.420	34.81	96.7643	6.2721
0.428	34.84	96.7626	6.2720
0.437	34.88	96.7608	6.2719
0.445	34.91	96.7589	6.2718
0.453	34.95	96.7569	6.2716
0.462	34.99	96.7549	6.2715
0.470	35.04	96.7529	6.2714
0.478	35.08	96.7507	6.2712
0.487	35.13	96.7485	6.2711
0.495	35.19	96.7460	6.2709
0.503	35.24	96.7435	6.2708
0.512	35.30	96.7412	6.2706
0.520	35.36	96.7386	6.2705
0.528	35.42	96.7357	6.2703
0.537	35.49	96.7329	6.2701
0.545	35.55	96.7301	6.2699
0.553	35.62	96.7271	6.2697
0.562	35.69	96.7241	6.2695
0.570	35.76	96.7211	6.2693
0.578	35.83	96.7179	6.2691
0.587	35.90	96.7146	6.2689
0.595	35.98	96.7115	6.2687
0.603	36.05	96.7084	6.2685
0.612	36.13	96.7049	6.2683
0.620	36.21	96.7015	6.2681
0.628	36.28	96.6982	6.2678
0.637	36.36	96.6948	6.2676
0.645	36.44	96.6913	6.2674
0.653	36.52	96.6877	6.2672
0.662	36.60	96.6842	6.2669
0.670	36.68	96.6806	6.2667
0.678	36.76	96.6770	6.2665
0.687	36.84	96.6733	6.2662
0.695	36.92	96.6696	6.2660
0.703	37.00	96.6657	6.2657
0.712	37.08	96.6618	6.2655
0.720	37.16	96.6583	6.2653
0.728	37.24	96.6546	6.2650
0.737	37.32	96.6506	6.2648
0.745	37.40	96.6466	6.2645
0.753	37.48	96.6429	6.2643
0.762	37.56	96.6391	6.2640
0.770	37.64	96.6352	6.2638
0.778	37.72	96.6314	6.2635
0.787	37.80	96.6277	6.2633
0.795	37.88	96.6238	6.2630
0.803	37.96	96.6200	6.2628
0.812	38.04	96.6162	6.2625
0.820	38.12	96.6124	6.2623
0.828	38.20	96.6085	6.2620
0.837	38.28	96.6048	6.2618
0.845	38.37	96.6010	6.2615
0.853	38.45	96.5971	6.2613
0.862	38.53	96.5932	6.2610
0.870	38.61	96.5895	6.2608
0.878	38.69	96.5859	6.2606
0.887	38.77	96.5818	6.2603
0.895	38.85	96.5778	6.2600
0.903	38.93	96.5740	6.2598
0.912	39.02	96.5701	6.2595
0.920	39.10	96.5662	6.2593
0.928	39.18	96.5624	6.2590
0.937	39.26	96.5585	6.2588
0.945	39.34	96.5546	6.2585
0.953	39.43	96.5507	6.2583
0.962	39.51	96.5470	6.2580
0.970	39.59	96.5431	6.2578
0.978	39.68	96.5391	6.2575
0.987	39.76	96.5352	6.2573
0.995	39.84	96.5313	6.2570
1.003	39.93	96.5274	6.2568
1.012	40.01	96.5234	6.2565
1.020	40.10	96.5196	6.2563
1.028	40.18	96.5158	6.2560
1.037	40.26	96.5118	6.2558
1.045	40.35	96.5078	6.2555
1.053	40.43	96.5040	6.2553
1.062	40.52	96.5000	6.2550
1.070	40.60	96.4958	6.2547
1.078	40.69	96.4917	6.2545
1.087	40.77	96.4878	6.2542
1.095	40.86	96.4838	6.2539
1.103	40.95	96.4798	6.2537
1.112	41.03	96.4756	6.2534
1.120	41.12	96.4716	6.2532
1.128	41.20	96.4674	6.2529
1.137	41.29	96.4633	6.2526
1.145	41.37	96.4595	6.2524
1.153	41.46	96.4556	6.2521
1.162	41.55	96.4514	6.2518
1.170	41.63	96.4473	6.2516
1.178	41.72	96.4433	6.2513
1.187	41.80	96.4391	6.2511
1.195	41.89	96.4350	6.2508
1.203	41.98	96.4310	6.2505
1.212	42.06	96.4269	6.2503
1.220	42.15	96.4227	6.2500
1.228	42.23	96.4186	6.2497
1.237	42.32	96.4146	6.2495
1.245	42.41	96.4104	6.2492
1.253	42.49	96.4062	6.2489
1.262	42.58	96.4021	6.2487
1.270	42.66	96.3979	6.2484
1.278	42.75	96.3936	6.2481
1.287	42.83	96.3894	6.2478
1.295	42.92	96.3853	6.2476
1.303	43.01	96.3809	6.2473
1.312	43.09	96.3766	6.2470
1.320	43.18	96.3724	6.2467
1.328	43.26	96.3683	6.2465
1.337	43.35	96.3643	6.2462
1.345	43.43	96.3601	6.2459
1.353	43.52	96.3559	6.2457
1.362	43.60	96.3517	6.2454
1.370	43.69	96.3474	6.2451
1.378	43.77	96.3432	6.2448
1.387	43.86	96.3390	6.2446
1.395	43.94	96.3348	6.2443
1.403	44.03	96.3305	6.2440
1.412	44.11	96.3262	6.2437
