Filename	Ox50PC250_1
Instrument name	0650-0369 (192.168.1.2)
Operator	jla278
rundate	12/21/2022
Sample name	Ox50PC250_1
proceduresegments	Select Gas: Gas 2 ; Ramp 10.00 °C/min to 110.00 °C; Isothermal 30.0 min; Ramp 50.00 °C/min to 950.00 °C; Isothermal 5.0 min; Data Off ; Equilibrate 30.00 °C
[step]
Ramp 10.00 °C/min to 110.00 °C
Time	Temperature	Weight	Weight	Heat Flow
min	°C	%	mg	mW
0.003		100.1289	1.5992	
0.012		100.2942	1.6018	
0.020		100.4342	1.6040	
0.028		100.5486	1.6059	
0.037		100.6402	1.6073	
0.045	22.06	100.7090	1.6084	-29.158
0.053	22.10	100.7568	1.6092	-29.100
0.062	22.14	100.7859	1.6097	-29.049
0.070	22.17	100.8011	1.6099	-29.001
0.078	22.21	100.8070	1.6100	-28.954
0.087	22.25	100.8058	1.6100	-28.908
0.095	22.29	100.8005	1.6099	-28.863
0.103	22.33	100.7933	1.6098	-28.819
0.112	22.37	100.7850	1.6096	-28.776
0.120	22.41	100.7758	1.6095	-28.734
0.128	22.45	100.7659	1.6093	-28.691
0.137	22.48	100.7554	1.6092	-28.650
0.145	22.52	100.7445	1.6090	-28.608
0.153	22.56	100.7334	1.6088	-28.566
0.162	22.60	100.7223	1.6086	-28.524
0.170	22.63	100.7116	1.6085	-28.481
0.178	22.67	100.7013	1.6083	-28.440
0.187	22.71	100.6914	1.6081	-28.399
0.195	22.74	100.6820	1.6080	-28.358
0.203	22.78	100.6731	1.6079	-28.316
0.212	22.82	100.6645	1.6077	-28.276
0.220	22.85	100.6562	1.6076	-28.235
0.228	22.89	100.6483	1.6075	-28.193
0.237	22.93	100.6406	1.6073	-28.152
0.245	22.96	100.6331	1.6072	-28.111
0.253	23.00	100.6257	1.6071	-28.070
0.262	23.04	100.6185	1.6070	-28.028
0.270	23.07	100.6113	1.6069	-27.987
0.278	23.11	100.6042	1.6068	-27.947
0.287	23.14	100.5971	1.6066	-27.908
0.295	23.18	100.5900	1.6065	-27.868
0.303	23.21	100.5829	1.6064	-27.829
0.312	23.25	100.5757	1.6063	-27.790
0.320	23.28	100.5685	1.6062	-27.752
0.328	23.32	100.5612	1.6061	-27.714
0.337	23.36	100.5538	1.6059	-27.675
0.345	23.39	100.5463	1.6058	-27.637
0.353	23.43	100.5388	1.6057	-27.600
0.362	23.46	100.5311	1.6056	-27.564
0.370	23.50	100.5234	1.6055	-27.526
0.378	23.53	100.5157	1.6053	-27.488
0.387	23.57	100.5078	1.6052	-27.450
0.395	23.60	100.4999	1.6051	-27.413
0.403	23.64	100.4919	1.6050	-27.376
0.412	23.68	100.4838	1.6048	-27.339
0.420	23.71	100.4757	1.6047	-27.303
0.428	23.75	100.4675	1.6046	-27.267
0.437	23.78	100.4592	1.6044	-27.231
0.445	23.82	100.4507	1.6043	-27.195
0.453	23.86	100.4421	1.6042	-27.160
0.462	23.89	100.4335	1.6040	-27.126
0.470	23.93	100.4247	1.6039	-27.093
0.478	23.97	100.4159	1.6037	-27.060
0.487	24.01	100.4069	1.6036	-27.028
0.495	24.04	100.3978	1.6035	-26.996
0.503	24.08	100.3886	1.6033	-26.964
0.512	24.12	100.3793	1.6032	-26.932
0.520	24.16	100.3700	1.6030	-26.901
0.528	24.20	100.3606	1.6029	-26.870
0.537	24.24	100.3513	1.6027	-26.840
0.545	24.28	100.3419	1.6026	-26.810
0.553	24.32	100.3324	1.6024	-26.781
0.562	24.36	100.3230	1.6023	-26.751
0.570	24.40	100.3136	1.6021	-26.723
0.578	24.44	100.3042	1.6020	-26.694
0.587	24.48	100.2949	1.6018	-26.664
0.595	24.52	100.2856	1.6017	-26.636
0.603	24.57	100.2763	1.6015	-26.607
0.612	24.61	100.2672	1.6014	-26.580
0.620	24.65	100.2581	1.6012	-26.551
0.628	24.70	100.2490	1.6011	-26.523
0.637	24.74	100.2401	1.6009	-26.495
0.645	24.79	100.2313	1.6008	-26.468
0.653	24.83	100.2227	1.6007	-26.442
0.662	24.87	100.2142	1.6005	-26.415
0.670	24.92	100.2058	1.6004	-26.388
0.678	24.97	100.1975	1.6003	-26.362
0.687	25.01	100.1894	1.6001	-26.336
0.695	25.06	100.1814	1.6000	-26.308
0.703	25.10	100.1735	1.5999	-26.281
0.712	25.15	100.1658	1.5998	-26.254
0.720	25.20	100.1582	1.5996	-26.226
0.728	25.25	100.1507	1.5995	-26.198
0.737	25.30	100.1434	1.5994	-26.169
0.745	25.35	100.1362	1.5993	-26.141
0.753	25.40	100.1291	1.5992	-26.114
0.762	25.45	100.1221	1.5991	-26.084
0.770	25.50	100.1153	1.5989	-26.056
0.778	25.55	100.1086	1.5988	-26.028
0.787	25.60	100.1020	1.5987	-26.002
0.795	25.65	100.0956	1.5986	-25.974
0.803	25.70	100.0893	1.5985	-25.946
0.812	25.75	100.0831	1.5984	-25.918
0.820	25.81	100.0770	1.5983	-25.888
0.828	25.86	100.0710	1.5982	-25.858
0.837	25.91	100.0651	1.5981	-25.828
0.845	25.97	100.0593	1.5980	-25.799
0.853	26.02	100.0535	1.5980	-25.768
0.862	26.08	100.0479	1.5979	-25.736
0.870	26.13	100.0424	1.5978	-25.703
0.878	26.19	100.0370	1.5977	-25.670
0.887	26.25	100.0316	1.5976	-25.638
0.895	26.30	100.0263	1.5975	-25.603
0.903	26.36	100.0211	1.5974	-25.570
0.912	26.42	100.0159	1.5974	-25.537
0.920	26.48	100.0108	1.5973	-25.504
0.928	26.53	100.0057	1.5972	-25.470
0.937	26.59	100.0007	1.5971	-25.436
