Time	Temperature	Weight	Weight	Heat Flow
min	°C	%	mg	mW
0.003		100.0565	3.7538	
0.012		100.1438	3.7571	
0.020		100.2206	3.7600	
0.028		100.2869	3.7625	
0.037		100.3419	3.7646	
0.045	25.32	100.3832	3.7661	-22.786
0.053	25.40	100.4128	3.7672	-22.726
0.062	25.48	100.4336	3.7680	-22.667
0.070	25.57	100.4472	3.7685	-22.610
0.078	25.65	100.4549	3.7688	-22.554
0.087	25.73	100.4581	3.7689	-22.499
0.095	25.81	100.4591	3.7690	-22.445
0.103	25.89	100.4592	3.7690	-22.393
0.112	25.98	100.4587	3.7689	-22.340
0.120	26.06	100.4578	3.7689	-22.289
0.128	26.14	100.4566	3.7689	-22.239
0.137	26.22	100.4551	3.7688	-22.190
0.145	26.29	100.4534	3.7687	-22.142
0.153	26.37	100.4513	3.7687	-22.095
0.162	26.45	100.4490	3.7686	-22.049
0.170	26.53	100.4464	3.7685	-22.004
0.178	26.61	100.4435	3.7684	-21.958
0.187	26.69	100.4404	3.7683	-21.914
0.195	26.76	100.4370	3.7681	-21.871
0.203	26.84	100.4334	3.7680	-21.828
0.212	26.91	100.4295	3.7678	-21.786
0.220	26.99	100.4254	3.7677	-21.744
0.228	27.06	100.4210	3.7675	-21.702
0.237	27.14	100.4163	3.7673	-21.661
0.245	27.21	100.4115	3.7672	-21.621
0.253	27.29	100.4063	3.7670	-21.581
0.262	27.36	100.4010	3.7668	-21.542
0.270	27.43	100.3954	3.7666	-21.503
0.278	27.50	100.3895	3.7663	-21.465
0.287	27.58	100.3835	3.7661	-21.428
0.295	27.65	100.3772	3.7659	-21.392
0.303	27.72	100.3706	3.7656	-21.356
0.312	27.79	100.3639	3.7654	-21.321
0.320	27.86	100.3569	3.7651	-21.285
0.328	27.93	100.3496	3.7648	-21.250
0.337	28.00	100.3422	3.7646	-21.216
0.345	28.06	100.3345	3.7643	-21.182
0.353	28.13	100.3267	3.7640	-21.149
0.362	28.20	100.3186	3.7637	-21.116
0.370	28.27	100.3103	3.7634	-21.082
0.378	28.34	100.3019	3.7631	-21.050
0.387	28.40	100.2932	3.7627	-21.018
0.395	28.47	100.2844	3.7624	-20.986
0.403	28.53	100.2753	3.7621	-20.954
0.412	28.60	100.2661	3.7617	-20.923
0.420	28.66	100.2568	3.7614	-20.892
0.428	28.73	100.2472	3.7610	-20.862
0.437	28.79	100.2375	3.7606	-20.831
0.445	28.86	100.2277	3.7603	-20.800
0.453	28.92	100.2177	3.7599	-20.769
0.462	28.98	100.2076	3.7595	-20.739
0.470	29.04	100.1974	3.7591	-20.709
0.478	29.11	100.1871	3.7587	-20.680
0.487	29.17	100.1766	3.7584	-20.652
0.495	29.23	100.1661	3.7580	-20.623
0.503	29.29	100.1554	3.7576	-20.594
0.512	29.35	100.1446	3.7572	-20.567
0.520	29.41	100.1338	3.7567	-20.540
0.528	29.47	100.1228	3.7563	-20.513
0.537	29.53	100.1117	3.7559	-20.487
0.545	29.59	100.1006	3.7555	-20.460
0.553	29.65	100.0894	3.7551	-20.433
0.562	29.71	100.0781	3.7547	-20.406
0.570	29.77	100.0667	3.7542	-20.379
0.578	29.82	100.0553	3.7538	-20.353
0.587	29.88	100.0439	3.7534	-20.327
0.595	29.94	100.0323	3.7529	-20.300
0.603	29.99	100.0207	3.7525	-20.274
0.612	30.05	100.0091	3.7521	-20.248
0.620	30.11	99.9974	3.7516	-20.221
0.628	30.16	99.9857	3.7512	-20.195
0.637	30.22	99.9739	3.7507	-20.170
0.645	30.27	99.9621	3.7503	-20.145
0.653	30.33	99.9502	3.7499	-20.120
0.662	30.38	99.9383	3.7494	-20.095
0.670	30.43	99.9263	3.7490	-20.070
0.678	30.49	99.9144	3.7485	-20.045
0.687	30.54	99.9024	3.7481	-20.021
0.695	30.59	99.8904	3.7476	-19.997
0.703	30.65	99.8783	3.7472	-19.973
0.712	30.70	99.8663	3.7467	-19.949
0.720	30.75	99.8542	3.7463	-19.926
0.728	30.80	99.8421	3.7458	-19.902
0.737	30.85	99.8300	3.7453	-19.879
0.745	30.91	99.8178	3.7449	-19.856
0.753	30.96	99.8057	3.7444	-19.833
0.762	31.01	99.7935	3.7440	-19.809
0.770	31.06	99.7813	3.7435	-19.786
0.778	31.11	99.7692	3.7431	-19.763
0.787	31.16	99.7570	3.7426	-19.741
0.795	31.21	99.7448	3.7422	-19.717
0.803	31.26	99.7327	3.7417	-19.694
0.812	31.31	99.7205	3.7412	-19.672
0.820	31.36	99.7084	3.7408	-19.648
0.828	31.41	99.6963	3.7403	-19.625
0.837	31.46	99.6842	3.7399	-19.602
0.845	31.51	99.6721	3.7394	-19.580
0.853	31.56	99.6600	3.7390	-19.557
0.862	31.61	99.6480	3.7385	-19.535
0.870	31.66	99.6360	3.7381	-19.512
0.878	31.71	99.6240	3.7376	-19.490
0.887	31.76	99.6120	3.7372	-19.468
0.895	31.81	99.6000	3.7367	-19.445
0.903	31.85	99.5881	3.7363	-19.423
0.912	31.90	99.5762	3.7358	-19.402
0.920	31.95	99.5643	3.7354	-19.381
0.928	32.00	99.5524	3.7349	-19.359
0.937	32.05	99.5405	3.7345	-19.337
0.945	32.10	99.5287	3.7340	-19.315
0.953	32.15	99.5169	3.7336	-19.294
0.962	32.20	99.5051	3.7332	-19.273
0.970	32.25	99.4934	3.7327	-19.251
0.978	32.30	99.4817	3.7323	-19.229
0.987	32.35	99.4700	3.7318	-19.207
0.995	32.40	99.4583	3.7314	-19.185
1.003	32.45	99.4467	3.7310	-19.164
1.012	32.50	99.4351	3.7305	-19.141
1.020	32.55	99.4236	3.7301	-19.119
1.028	32.60	99.4121	3.7297	-19.098
1.037	32.66	99.4006	3.7292	-19.076
1.045	32.71	99.3891	3.7288	-19.054
1.053	32.76	99.3777	3.7284	-19.032
1.062	32.81	99.3663	3.7280	-19.010
1.070	32.86	99.3550	3.7275	-18.988
1.078	32.91	99.3437	3.7271	-18.966
1.087	32.97	99.3324	3.7267	-18.943
1.095	33.02	99.3211	3.7263	-18.921
1.103	33.07	99.3099	3.7258	-18.899
1.112	33.13	99.2987	3.7254	-18.876
1.120	33.18	99.2875	3.7250	-18.853
1.128	33.23	99.2764	3.7246	-18.831
1.137	33.29	99.2653	3.7242	-18.809
1.145	33.34	99.2542	3.7237	-18.786
1.153	33.39	99.2431	3.7233	-18.764
1.162	33.45	99.2321	3.7229	-18.742
1.170	33.50	99.2211	3.7225	-18.719
1.178	33.56	99.2101	3.7221	-18.698
1.187	33.61	99.1992	3.7217	-18.676
1.195	33.67	99.1882	3.7213	-18.654
1.203	33.72	99.1773	3.7209	-18.632
1.212	33.78	99.1665	3.7205	-18.609
1.220	33.83	99.1556	3.7200	-18.587
1.228	33.89	99.1447	3.7196	-18.564
1.237	33.95	99.1339	3.7192	-18.540
1.245	34.00	99.1231	3.7188	-18.517
1.253	34.06	99.1123	3.7184	-18.494
1.262	34.12	99.1015	3.7180	-18.470
1.270	34.17	99.0908	3.7176	-18.446
1.278	34.23	99.0801	3.7172	-18.422
1.287	34.29	99.0694	3.7168	-18.398
1.295	34.35	99.0587	3.7164	-18.374
1.303	34.41	99.0481	3.7160	-18.350
1.312	34.46	99.0374	3.7156	-18.327
1.320	34.52	99.0268	3.7152	-18.303
1.328	34.58	99.0162	3.7148	-18.280
1.337	34.64	99.0056	3.7144	-18.256
1.345	34.70	98.9951	3.7140	-18.232
1.353	34.76	98.9845	3.7136	-18.208
1.362	34.82	98.9740	3.7132	-18.184
1.370	34.88	98.9635	3.7128	-18.160
1.378	34.95	98.9530	3.7124	-18.136
1.387	35.01	98.9425	3.7121	-18.111
1.395	35.07	98.9321	3.7117	-18.087
1.403	35.13	98.9217	3.7113	-18.063
1.412	35.19	98.9113	3.7109	-18.038
1.420	35.26	98.9009	3.7105	-18.013
1.428	35.32	98.8905	3.7101	-17.987
1.437	35.38	98.8801	3.7097	-17.961
1.445	35.45	98.8697	3.7093	-17.935
1.453	35.51	98.8593	3.7089	-17.909
1.462	35.57	98.8490	3.7085	-17.884
1.470	35.64	98.8387	3.7082	-17.858
1.478	35.70	98.8284	3.7078	-17.833
1.487	35.77	98.8181	3.7074	-17.806
1.495	35.83	98.8078	3.7070	-17.780
1.503	35.90	98.7976	3.7066	-17.754
1.512	35.96	98.7873	3.7062	-17.728
